1	Rrp15
2	Insig2
3	Cd244a
4	Vps4b
5	AI597479
6	Cacybp
7	Ube2w
8	Klf7
9	Mob4
10	Stradb
11	Casp8
12	Ndufb3
13	Mrpl30
14	Asnsd1
15	Ormdl1
16	Rhbdd1
17	Mrpl44
18	Septin2
19	Ilkap
20	Relch
21	Dars
22	Nvl
23	Mpzl1
24	Cenpf
25	Eprs
26	Ppp2r5a
27	Atf6
28	Uhmk1
29	Vamp4
30	Klhl20
31	Abi2
32	Acsl3
33	Acbd6
34	Atp6v1h
35	Zranb3
36	Rab3gap1
37	Trpm8
38	Itln1
39	Gm9765
40	Rc3h1
41	St8sia4
42	Tiprl
43	Gtf3c3
44	Tpp2
45	Dstyk
46	Tmem183a
47	Edem3
48	Zbtb37
49	Gigyf2
50	Cyp20a1
51	Tmco1
52	Swt1
53	Dennd1b
54	Fcgr3
55	Tsga10
56	Ccnyl1
57	A530040E14Rik
58	Ppp1r12b
59	Gm10552
60	Gm10553
61	Nbeal1
62	Eloc
63	A230059L01Rik
64	Ugt1a1
65	Gm3052
66	Gm31812
67	Dnajc5
68	Pxmp4
69	Naa20
70	Lnpk
71	Chp1
72	Anapc1
73	Dtwd1
74	Stam
75	Dnajc1
76	Acbd5
77	Pdss1
78	Gpd2
79	Psmd5
80	Mrrf
81	Marchf7
82	Nup35
83	Itga4
84	Hat1
85	Katnbl1
86	Eif3m
87	Depdc7
88	Nat10
89	Ttc17
90	Cops2
91	Mtch2
92	Haus2
93	Ptpra
94	Rtf1
95	Rpusd2
96	Tmem230
97	Pcna
98	Gabpb1
99	Usp8
100	Bub1
101	Zc3h8
102	Sec23b
103	Dtd1
104	Tbc1d20
105	Rbm39
106	Rbl1
107	Rpn2
108	Spg11
109	Stard9
110	Tmx4
111	Shc4
112	Dennd1a
113	Rabgap1
114	Edem2
115	Polr3k
116	Tasp1
117	Alkbh3
118	Cdin1
119	Arhgap11a
120	Zc3h6
121	Ubr3
122	Cntrl
123	Sptan1
124	Cpne1
125	Eif2s2
126	Qser1
127	Rc3h2
128	Capn3
129	Ap2m1-ps
130	Gm13461
131	Gm13710
132	Wdr77
133	Ilf2
134	Trmt10a
135	Prkacb
136	Psmd4
137	Arnt
138	Prpf3
139	Hspa4l
140	Plk4
141	Mfsd8
142	Ttc14
143	Mbnl1
144	Ift80
145	Ppid
146	Serp1
147	Nras
148	Ints12
149	Khdc4
150	Gpatch4
151	Lrba
152	Gpr89
153	Rnf115
154	Cisd2
155	Zranb2
156	Rpf1
157	Spata1
158	Gtf2b
159	Pdlim5
160	Slc16a1
161	Elf2
162	Mynn
163	Abhd18
164	Pde4dip
165	Rbm8a
166	Mcl1
167	Rsbn1
168	St7l
169	Rpsa-ps10
170	Gm42743
171	Gon4l
172	Lrif1
173	Intu
174	H2ac19
175	H2ac18
176	Tmem167b
177	Psma5
178	Gm23077
179	Gm16560
180	Lamtor3
181	Gm37087
182	Gm5850
183	Gm37430
184	Gm5851
185	Gm6197
186	Gm43590
187	Amd-ps4
188	Trp53inp1
189	Rmdn1
190	Tmem68
191	Rps20
192	Ubxn2b
193	Smim8
194	C9orf72
195	Ptbp3
196	Zfp37
197	Kdm4c
198	Zdhhc21
199	Dnaja1
200	Bag1
201	Mier1
202	Mycbp
203	Prdx1
204	Akr1a1
205	Atpaf1
206	Ago3
207	Rcc1
208	Vamp3
209	Nfyc
210	Gpbp1l1
211	Virma
212	Ints8
213	E130308A19Rik
214	Dpy19l4
215	Gm21411
216	Pdp1
217	Tmem67
218	Smarca5-ps
219	Zfp981
220	Zfp980
221	Zfp993
222	Zfp69
223	Zfp985
224	Zfp600
225	Zfp991
226	Rex2
227	Klhl9
228	Gm13241
229	Zfp984
230	Zfp982
231	Zfp990
232	Gm13136
233	Gm13149
234	Gm13168
235	Gm13036
236	Gm13245
237	Gm13230
238	Gm13163
239	Gm13034
240	Gm13161
241	Gm13162
242	Gm13233
243	Gm13223
244	Gm13246
245	Gm13226
246	Gm13169
247	Gm13224
248	Platr16
249	Gm13166
250	Zfp989
251	Gm13165
252	Gm13229
253	Gm20760
254	Gm13144
255	Gm13243
256	Vmn2r-ps16
257	Gm13249
258	Gm13238
259	Ifna5
260	Gm10576
261	Cyp51
262	Ncapg
263	Mrps18c
264	Hadha
265	Fam126a
266	Ppm1g
267	Nrbp1
268	Sepsecs
269	Tec
270	Pigg
271	Dr1
272	Mtf2
273	2010109A12Rik
274	Psph
275	Zkscan1
276	Gm9758
277	Cracd
278	Stim2
279	Mterf1a
280	Brca2
281	Rnf10
282	Pitpnb
283	Mterf1b
284	Ankrd17
285	Ccdc18
286	Speer4c
287	Speer4cos
288	Gm21698
289	Gm43391
290	Gm21190
291	Tax1bp1
292	Nr2c2
293	Rpa3
294	Trnt1
295	Reg2
296	Washc2
297	Tmem168
298	Cul1
299	Ezh2
300	Exoc4
301	Calu
302	Klhdc10
303	Tra2a
304	Ssbp1
305	Zfp638
306	Cnbp
307	Tmf1
308	Chchd6
309	Sumf1
310	Tmcc1
311	Erc1
312	Ccdc91
313	Eif2ak3
314	Resf1
315	Eefsec
316	Gcfc2
317	Gadd45a
318	Gng12
319	Vopp1
320	Parp11
321	Ubn2
322	Mrps35
323	Fgfr1op2
324	Hnrnpf
325	Mios
326	Bmt2
327	Tigd2
328	Chmp3
329	Tprkb
330	Skap2
331	Lancl2
332	Amn1
333	Smim10l1
334	H4f16
335	Gm5989
336	Gm5301
337	Gm42642
338	Gm4782
339	Gm6308
340	Gm8038
341	Eif4a3l2
342	Ctr9
343	Rps15a
344	Nipa2
345	Zdhhc13
346	Gas2
347	Rab38
348	Tmem126a
349	Eed
350	Ndufc2
351	Arl6ip1
352	Acer3
353	Acadsb
354	Dctn5
355	Mettl9
356	Mrpl17
357	Abraxas2
358	Ccp110
359	Neu3
360	Emsy
361	Alg8
362	Btbd10
363	Ramac
364	Tmem135
365	Ankrd42
366	Tmem41b
367	Crebzf
368	Sae1
369	Rnf169
370	Nap1l4
371	Usp47
372	Pstk
373	Bub3
374	Tm2d3
375	Mif-ps4
376	2900076A07Rik
377	1700012D14Rik
378	Nfat5
379	Gfod2
380	Fnta
381	Asb5
382	Aga
383	Slc25a4
384	Itfg1
385	Zfp330
386	Smarca5
387	Ist1
388	Ap1g1
389	Cog4
390	Ints10
391	Rfwd3
