Beerman_Combined Old to Young 				
Feature	Gene	FC	Feature P	FDR (BH)
1454773_at	Rxra	2.02	5E-04	2E-02
1417816_s_at	Serinc3	2.02	6E-04	2E-02
1454860_x_at	Dad1	2.07	5E-04	2E-02
1415756_a_at	Snapin	2.04	1E-03	2E-02
1424034_at	Rora	2.41	5E-04	2E-02
1424093_x_at	Cd151	2.12	7E-04	2E-02
1451049_at	Bcap31	2.14	6E-04	2E-02
1452162_at	Wdr48	2.88	7E-04	2E-02
1452390_at	AA881470	2.25	7E-04	2E-02
1416881_at	Mcl1	2.03	1E-03	2E-02
1439764_s_at	Igf2bp2	-10.42	5E-07	2E-03
1444103_at	Epsti1	-3.74	5E-05	8E-03
1458679_a_at	Tatdn1	-2.4	1E-06	2E-03
1448921_a_at	Mrps9	-2.46	2E-04	1E-02
1434003_a_at	Dhps	-4.28	5E-06	4E-03
1423350_at	Socs5	-2.55	8E-05	1E-02
1439622_at	Rassf4	-4.84	1E-04	1E-02
1437791_s_at	Eml5	-4.12	1E-04	1E-02
1434974_at	Pdk1	-4.35	1E-04	1E-02
1416474_at	Igdcc4	-5.88	2E-06	4E-03
1449749_s_at	Tfb1m	-3.43	7E-06	4E-03
1435735_x_at	H47	-3.22	3E-06	4E-03
1429599_a_at	Mthfd2l	-4.69	5E-05	8E-03
1424873_at	Rnf2	-2.04	4E-05	7E-03
1417478_a_at	Ppp2r3c	-3.15	1E-05	5E-03
1420907_at	Cd2ap	-2.35	2E-05	5E-03
1429260_at	1810014B01Rik	-2.77	6E-06	4E-03
1440587_at	---	-5.05	2E-04	1E-02
1456360_at	Tes3-ps	-10.08	1E-04	1E-02
1439766_x_at	Vegfc	-5.64	6E-06	4E-03
1429205_at	Mllt3	-2.2	5E-06	4E-03
1419668_at	Sgcb	-3.07	9E-06	4E-03
1448892_at	Dock7	-2.25	5E-06	4E-03
1451219_at	Ormdl1	-2.58	5E-06	4E-03
1446827_at	Ncoa2	-2.66	3E-04	1E-02
1436697_at	---	-4.57	3E-04	1E-02
1423674_at	Usp1	-6	8E-06	4E-03
1438118_x_at	Vim	-3.51	2E-05	6E-03
1429870_at	Tnik	-3.22	4E-04	2E-02
1448765_at	Fyn	-2.96	2E-05	5E-03
1456430_at	Ttc14	-4.01	1E-04	1E-02
1448704_s_at	H47	-2.68	1E-05	5E-03
1455310_at	Rbm16	-3.26	2E-04	1E-02
1453424_at	Fyco1	-2.69	4E-04	2E-02
1452859_at	1200016B10Rik	-2.84	1E-05	5E-03
1436766_at	Luc7l2	-4.58	1E-05	5E-03
1423298_at	Add3	-4.38	3E-05	6E-03
1450079_at	Nrk	-3.16	4E-04	2E-02
1423829_at	Fam49b	-2.93	5E-04	2E-02
1438294_at	Atxn1	-2.71	9E-05	1E-02
1452172_at	Fastkd2	-2.41	1E-03	2E-02
1434365_a_at	BC055324	-2.13	7E-04	2E-02
1456133_x_at	Itgb5	-5.31	5E-04	2E-02
1448027_at	Ncoa3	-2.09	1E-04	1E-02
1427172_at	Ofd1	-3.09	2E-05	6E-03
1458656_at	Gm2643 /// LOC100047186	-6.74	3E-04	1E-02
1431921_a_at	LOC100045442 /// Stag1	-2.19	2E-05	5E-03
1428270_at	Glt8d1	-2.03	6E-04	2E-02
1445260_at	Dcun1d1	-3.42	2E-05	6E-03
1460077_at	Ttc3	-5.96	2E-05	6E-03
1422126_a_at	Nudt13	-3.48	2E-04	1E-02
1429672_at	5830407E08Rik	-4.96	5E-04	2E-02
1421389_a_at	Eif2ak4	-3.58	1E-04	1E-02
1448917_at	Med30	-4.96	3E-05	6E-03
1437525_a_at	Polr3a	-2.65	3E-04	1E-02
1448986_x_at	Dnase2a	-2.59	2E-04	1E-02
1453332_at	2410002O22Rik /// LOC100044479	-6.24	3E-04	2E-02
1416489_at	Pi4k2b	-2.36	5E-04	2E-02
1435209_at	BC057079	-2.58	2E-05	6E-03
1422754_at	Tmod1	-4.75	6E-04	2E-02
1448626_at	Cdk5rap1	-4.41	1E-04	1E-02
1450095_a_at	Acyp1	-3.17	3E-05	6E-03
1450784_at	Reck	-3.92	3E-05	6E-03
1454795_at	Cobll1	-3.26	5E-05	8E-03
1429673_at	5830407E08Rik	-6.07	6E-04	2E-02
1419754_at	Myo5a	-3.59	2E-04	1E-02
1438880_at	1700012D14Rik	-3.9	2E-04	1E-02
1447174_at	---	-6.08	3E-05	6E-03
1425007_at	Zfp566	-4.78	2E-05	6E-03
1434509_at	Rapgef6	-4.23	2E-05	6E-03
1436242_a_at	Cklf	-2.07	6E-05	8E-03
1437508_at	Sp4	-6.19	2E-05	6E-03
1449181_at	Fech	-3.06	5E-05	8E-03
1450780_s_at	Hmga2	-2.06	7E-04	2E-02
1422669_at	Ebag9	-2.83	6E-05	9E-03
1460419_a_at	Prkcb	-6.23	2E-04	1E-02
1439800_at	Clip1	-4.09	4E-04	2E-02
1435368_a_at	Parp1	-2.23	3E-05	6E-03
1445340_at	Mycbp2	-3.16	8E-04	2E-02
1435293_at	Adam22	-4.27	3E-04	1E-02
1457327_at	Shprh	-3.63	7E-04	2E-02
1447027_s_at	Lias	-2.43	2E-04	1E-02
1440461_at	---	-5.18	4E-05	8E-03
1449897_a_at	Mtcp1	-3.02	2E-04	1E-02
1420982_at	Rbm39	-7.05	8E-04	2E-02
1420808_at	Gm6768 /// Ncoa4	-2.31	7E-04	2E-02
1445377_at	---	-3.15	8E-04	2E-02
1429043_at	Smndc1	-2.58	1E-04	1E-02
1451740_at	Paip1	-2.09	4E-04	2E-02
1447845_s_at	Vnn1	-6.72	8E-04	2E-02
1438511_a_at	1190002H23Rik	-11.47	3E-04	2E-02
1434728_at	Gria3	-6.21	9E-04	2E-02
1437546_at	Dnajc14	-2.51	5E-05	8E-03
1432352_at	Ccny	-7.33	2E-04	1E-02
1438847_at	Mxd3	-2.86	9E-04	2E-02
1434960_at	Taf9b	-3	8E-04	2E-02
