reanalysed				
ID	Gene.symbol	logFC	P.Value	adj.P.Val
1427345_a_at	Sult1a1	2.0188866987	6.91438225671114e-06	0.0036687712
1417236_at	Ehd3	1.6532962739	7.08944250928518e-06	0.003717918
1426864_a_at	Ncam1	1.6055448295	7.22910382677275e-06	0.0037293167
1449588_at	Abca4	1.6440974853	7.27655414417409e-06	0.0037293167
1423513_at	Uhrf1bp1l	1.4168706047	7.43570096936898e-06	0.0037680624
1441396_at	B3galt1	1.6850867153	7.87041713904439e-06	0.0039253608
1417872_at	Fhl1	1.3825782391	7.92017549412815e-06	0.0039253608
1417839_at	Cldn5	2.6041876623	8.30956783545017e-06	0.00404889
1449222_at	Ebi3	-1.8000444483	8.34896713372443e-06	0.00404889
1433615_at	Tmem117	1.4883781408	8.87296037610034e-06	0.0042560072
1418472_at	Aspa	2.3067655507	9.00654312899621e-06	0.0042560072
1416007_at	Satb1	-2.0806206168	9.05914932600832e-06	0.0042560072
1447849_s_at	LOC102641248///Maf	2.3733465145	9.6356766338009e-06	0.0044801923
1447693_s_at	Neo1	2.5258678471	9.76135795927202e-06	0.0044923164
1448021_at	Fam46c	1.5567272403	9.94461517232023e-06	0.0045304251
1443832_s_at	Sdpr	1.7991720932	1.00622697230782e-05	0.0045381843
1449229_a_at	Cdkl2	1.866169502	1.02263693391529e-05	0.0045584557
1428613_at	Ldhd	1.1025703431	1.03414455387443e-05	0.0045584557
1428358_at	Zg16	1.5166815783	1.04104328835837e-05	0.0045584557
1426784_at	Trim47	1.2294087157	1.06166467233045e-05	0.0046040518
1418502_a_at	Oxr1	1.2550336403	1.09012545085096e-05	0.0046824522
1449408_at	Jam2	1.9605682089	1.12775188897804e-05	0.0047983715
1434188_at	Slc16a12	1.7308661755	1.16155270363684e-05	0.0048959989
1419457_at	Arhgef28	1.1732310991	1.18904668168509e-05	0.004965481
1416779_at	Sdpr	1.9473539445	1.23510992622682e-05	0.0051105223
1435783_at	Fam169a	1.8329110874	1.28354980510994e-05	0.0052626709
1423277_at	Ptprk	1.4424619938	1.32707272940494e-05	0.0053584696
1416008_at	Satb1	-1.9321900794	1.33067691406865e-05	0.0053584696
1455869_at		-2.9237099225	1.35801489969358e-05	0.0054201619
1422573_at	Ampd3	1.3905268497	1.39023038855531e-05	0.0055000685
1420462_at	Il1rapl2	1.3641296325	1.40461550278022e-05	0.0055086577
1424008_a_at	Gm3470///Rbpms2	1.0515653416	1.4737999051946e-05	0.0057301594
1447640_s_at	Pbx3	1.1504111674	1.49482845825789e-05	0.0057622443
1418501_a_at	Oxr1	1.1649905577	1.52241897623107e-05	0.005818866
1437272_at	Dpy19l2	1.8074931955	1.56590942211756e-05	0.0059347967
1435436_at	Epas1	1.6883179904	1.5863898210898e-05	0.0059623139
1418981_at	Casp12	1.1354208664	1.66031220125363e-05	0.0061885736
1439622_at	Rassf4	-1.403637938	1.77826837490104e-05	0.0065739084
1425216_at	Ffar2	1.7491932563	1.83012499416692e-05	0.0067106071
1426300_at	Alcam	1.2486200384	1.94001489083679e-05	0.007032286
1449199_at	Muc1	1.7187936098	1.94903827413741e-05	0.007032286
1433776_at	Lhfp	2.2601806769	1.96865176710846e-05	0.0070466796
1440310_at	Runx1t1	2.6009330149	2.02550473193851e-05	0.0071494027
1417817_a_at	Wwtr1	1.3460477806	2.02905378594558e-05	0.0071494027
1431146_a_at	Cpne8	2.4730479592	2.06446130962651e-05	0.0072177728
1452191_at	Prcp	1.0648223072	2.13674237525476e-05	0.0074130168
1456318_at	Clec1a	1.7527857243	2.26890299852604e-05	0.0078005032
1420404_at	Cd86	-1.3677652141	2.2830235002272e-05	0.0078005032
1451335_at	Plac8	-2.0339490102	2.31699578224381e-05	0.0078570546
1424099_at	Gpx8	2.4071088044	2.36490271387349e-05	0.0079596625
1419014_at	Rhag	-1.3943243585	2.46721127087569e-05	0.0081367755
1437155_a_at	Wwtr1	1.4757658312	2.47538183067479e-05	0.0081367755
1428136_at	Sfrp1	1.3562080963	2.49220759148602e-05	0.0081367755
1433707_at	Gabra4	2.8884591256	2.50379417261727e-05	0.0081367755
1437467_at	Alcam	1.7106210164	2.51892275079144e-05	0.0081367755
1422632_at	Ctsw	1.2849736259	2.53946755670257e-05	0.0081367755
1427001_s_at	Hnf4a	-1.481303377	2.54381355663412e-05	0.0081367755
1417962_s_at	Ghr	1.3548150291	2.61693404194686e-05	0.008276996
1424698_s_at	Gca	1.2506485857	2.63890607463127e-05	0.008276996
1419144_at	Cd163	-2.1656906712	2.64270730971829e-05	0.008276996
1444905_at	D1Ertd705e	1.1976695327	2.72547005658279e-05	0.008420371
1448785_at	Runx1t1	1.4951812667	2.73584533688809e-05	0.008420371
1435701_at	Cyyr1	1.5274420292	2.74449467439006e-05	0.008420371
1425492_at	Bmpr1a	2.0946626692	2.80600799760002e-05	0.0085509302
1425065_at	Oas2	-0.9956508516	2.86488263322174e-05	0.0086564253
1436739_at	Agtr1a	2.7469012082	2.87901330528116e-05	0.0086564253
1419758_at	Abcb1a	2.0127103958	3.01866067973001e-05	0.0090161997
1428267_at	Dhx40	1.0286780672	3.12163856863797e-05	0.0091840314
1416136_at	Mmp2	-1.6938479974	3.13268798923248e-05	0.0091840314
1435748_at	Gda	1.8880742376	3.13594117421009e-05	0.0091840314
1460304_a_at	Ubtf	-1.1730814704	3.26197697494748e-05	0.0094915112
1440681_at	Chrna7	1.7164435071	3.28657777157735e-05	0.0095017913
1456195_x_at	Itgb5	-1.5095274791	3.45352340185736e-05	0.0099208509
1441793_at		0.9935749731	3.55338118350604e-05	0.0101431041
1455706_at	Stxbp4	1.1136450138	3.58709100540411e-05	0.0101749303
1426887_at	Nudt10///Nudt11	1.1628964297	3.63617328170669e-05	0.0102496907
1452426_x_at		-2.3681789119	3.749261819519e-05	0.0105028234
1415904_at	Lpl	2.3376349601	3.84469320254155e-05	0.0107036733
1452050_at	Camk1d	-1.9205161835	3.92680359541943e-05	0.01080452
1453510_s_at	Fam184a	0.9708182564	3.92882926398582e-05	0.01080452
1415964_at	Scd1	1.7031031672	3.98487744726759e-05	0.0108922399
1439795_at	Adgrg2	2.9253242712	4.05501231014376e-05	0.0110171753
1434920_a_at	Evl	-1.6322683238	4.11038179395928e-05	0.0111007383
1419392_at	Pclo	2.5971267966	4.16873064093936e-05	0.0111913048
1429133_at	Nxnl2	1.3094084144	4.20898233131202e-05	0.0112325037
1419724_at	Edar	1.03551479	4.27599033607617e-05	0.0113442024
1459903_at	Sema7a	0.8889184238	4.42120736333685e-05	0.0116608698
1449379_at	Kdr	1.4418349673	4.48504786038985e-05	0.0117604735
1426910_at	Pawr	1.4472955073	4.63193665595484e-05	0.0120754321
1428615_at	Lpar6	1.0848962047	4.70421761960907e-05	0.0121933861
1423722_at	Vmp1	1.0453954629	4.77813453734681e-05	0.0122533979
1427183_at	Efemp1	1.9416912787	4.78170780052256e-05	0.0122533979
1417900_a_at	Vldlr	1.2719593666	4.82323021356328e-05	0.0122899721
1439862_at	Rorb	1.6885745181	4.94324297843195e-05	0.0125250113
1441975_at	Acpp	1.2195433995	4.99555810710886e-05	0.0125756691
1456328_at	Bank1	-1.2072821028	5.01900278207336e-05	0.0125756691
1448671_at	Ube2e3	-0.9108368831	5.16670422363459e-05	0.012874228
1437868_at	Fam46a	-2.1124989684	5.19790541086369e-05	0.0128808094
1454745_at	Arhgap29	1.0356471153	5.29327957515951e-05	0.0130454755
1417507_at	Cyb561	1.6392377002	5.34127710299153e-05	0.0130922249
1435820_x_at	Ddr1	1.3238796153	5.38541686046983e-05	0.0131290641
1449570_at	Klrb1b///Klrb1c	1.691658456	5.42939675594089e-05	0.0131621899
1420693_at	Myom1	1.2903406075	5.45737237752473e-05	0.0131621899
1420581_at	Gpr143	1.0697522164	5.52151518148603e-05	0.0131851301
1444615_x_at	Runx1t1	1.8139026103	5.52535329385876e-05	0.0131851301
1419669_at	Prtn3	0.840102205	5.76229391803286e-05	0.0136781694
1416271_at	Perp	1.7862786084	5.85178636144832e-05	0.0137874561
