reanalysed				
ID	Gene.symbol	logFC	P.Value	adj.P.Val
1418021_at	C4a///C4b	1.6514730705	6.37683922167163e-06	0.0034238313
1426395_s_at	Eif3j2///Eif3j1	-1.9957614295	6.61536117827706e-06	0.0035101106
1417872_at	Fhl1	1.1289653595	7.20701750652149e-06	0.0037795779
1421073_a_at	Ptger4	1.8357816278	7.37479196853326e-06	0.0038231091
1452792_at	Dzip1	1.1212529126	7.51781715325696e-06	0.0038326037
1425491_at	Bmpr1a	2.0582226531	7.81812654228597e-06	0.0038326037
1423278_at	Ptprk	2.6576052409	7.82366613947884e-06	0.0038326037
1449906_at	Selp	2.7055176884	7.87950684455313e-06	0.0038326037
1450792_at	Tyrobp	-1.6429049965	7.90241498807482e-06	0.0038326037
1434553_at	Tmem56	2.5616350582	7.98351683508129e-06	0.0038326037
1426246_at	Pros1	1.2010369343	7.98795474577175e-06	0.0038326037
1433707_at	Gabra4	3.1250227353	8.13291494824598e-06	0.00386108
1452426_x_at		-3.1322048816	9.39539568075052e-06	0.0043573598
1455653_at	Ccnj	1.7338828524	9.45068332637035e-06	0.0043573598
1448383_at	Mmp14	1.7277612256	9.56778328810126e-06	0.0043573598
1436566_at	Rab40b	1.7344678869	9.6694317897419e-06	0.0043573598
1439699_at		1.8755469051	9.74461592476534e-06	0.0043573598
1416779_at	Sdpr	2.607854193	9.81214788519885e-06	0.0043573598
1423557_at	Ifngr2	-1.4534886989	9.85456428500386e-06	0.0043573598
1416996_at	Tbc1d8	1.2839948961	1.00102995155813e-05	0.0043832478
1457632_s_at	Meis2	1.9840084213	1.06047184340855e-05	0.0045988789
1454832_at	Phactr1	1.7721542095	1.11111403211347e-05	0.0047726051
1419759_at	Abcb1a	1.3237147435	1.14876094543457e-05	0.0048877611
1433610_at	AA986860	1.2584266067	1.18847805572933e-05	0.00500271
1428613_at	Ldhd	1.6097898501	1.20564788370758e-05	0.00500271
1454685_at	Gpr146	1.1639399901	1.21221342553627e-05	0.00500271
1422557_s_at	Mt1	2.9189320377	1.22014612375356e-05	0.00500271
1452981_at	Cntn1	2.7701100368	1.28573938228595e-05	0.005224156
1425570_at	Slamf1	1.0800487712	1.33230276783364e-05	0.0053650167
1426784_at	Trim47	1.2997258534	1.39131081039584e-05	0.0055530539
1449408_at	Jam2	2.244275092	1.40628327388041e-05	0.0055635774
1448665_at	Dmd	1.0273951163	1.44618865308943e-05	0.0056432797
1455586_at	Rnf168	-1.0540028978	1.45145439232851e-05	0.0056432797
1437689_x_at	Clu	3.4630205231	1.53008983987641e-05	0.0058981694
1428647_at	Pbx1	1.1233488948	1.5521768499963e-05	0.0059326041
1434804_at	Exoc6b	1.2387637704	1.61210573391734e-05	0.0060520945
1418301_at	Irf6	1.0084072394	1.61526091698959e-05	0.0060520945
1418892_at	Rhoj	1.8062623857	1.62944585466737e-05	0.0060520945
1437467_at	Alcam	1.3992632696	1.64654286915714e-05	0.0060520945
1434272_at	Cpeb2	1.7083363733	1.65053462295509e-05	0.0060520945
1439622_at	Rassf4	-1.5826873898	1.70579234956316e-05	0.0060889133
1435749_at	Gda	2.1845210959	1.70719046412366e-05	0.0060889133
1436171_at	Arhgap30	-1.38284727	1.71000972361735e-05	0.0060889133
