gene	direction
Mlec	-1
Cotl1	-1
Rgs7bp	-1
Cdca2	-1
Zfp800	-1
Fam46a	-1
Casc5	-1
Chek1	-1
Mmp2	-1
Sgol1	-1
Rassf4	-1
Mm.123404.1	-1
Rnf220	-1
E330016A19Rik	-1
Jakmip1	-1
Mm.150139.1	-1
Mtap7	-1
Rhobtb3	-1
Ap1s2	-1
Vcam1	-1
Hif1a	-1
Prim1	-1
Ebi3	-1
Gata1	-1
Baz1b	-1
Nrk	-1
Ms4a6c	-1
RP23-357I14.1 /// Slc28a2	-1
Rnpep	-1
Plac8	-1
Efcab7	-1
Col4a1	-1
Camk1d	-1
Plk4	-1
Rbm5	-1
Cfp	-1
Cenpn	-1
Mm.220934.1	-1
Ppil5	-1
Cep350	-1
Atic /// LOC100046995	-1
Dscc1	-1
Phldb2	-1
Kctd14	-1
Csf2rb	-1
Mm.157900.2	-1
Mm.220934.3	-1
Kif23	-1
Mm.196322.1	-1
Cerkl /// Itga4	-1
Ncf1	-1
A030001D16Rik	-1
Pank1	-1
Crebbp	-1
Ubtf	-1
