Gene	direction
Cops4	-1
Ppp4r2	-1
Ndufb9	-1
Stx8	-1
Polr2d	-1
Srsf3	-1
Sdhb	-1
Rai12	-1
Srprb	-1
Pih1d1	-1
Nop10	-1
Ndnl2	-1
Cdk2ap1	-1
Ppp2r3c	-1
Mrpl11	-1
Hsd17b11	-1
Sf3b5	-1
Ufd1l	-1
2010012O05Rik	-1
Ndufb11	-1
Chchd3	-1
Acp6	-1
Nedd8	-1
B230118H07Rik	-1
Btk	-1
Nudt1	-1
Cdk7	-1
Ctnnbl1	-1
Spryd4	-1
Drg1	-1
Glrx	-1
Med11	-1
As3mt	-1
Oxct1	-1
S100a10	-1
Fabp5	-1
Rwdd4a	-1
Ndufs8	-1
Polr2l	-1
Ndufs2	-1
Atp5h	-1
Slc35a4	-1
Surf2	-1
Ormdl2	-1
Gpx4	-1
Fkbp11	-1
Letmd1	-1
Thap1	-1
Tex10	-1
Cstb	-1
Dctn5	-1
Gpr65	-1
Mrps35	-1
Timm50	-1
2900092E17Rik	-1
Tufm	-1
Tubgcp2	-1
Tmem93	-1
Oxnad1	-1
Rpl19	-1
Yif1b	-1
Mrps21	-1
Timm9	-1
Rp9	-1
Rpf1	-1
Tm9sf4	-1
Rabggtb	-1
Cyp20a1	-1
Nhp2l1	-1
Glrx5	-1
Cdc42ep3	-1
Uqcrc1	-1
Atp5g3	-1
Mrpl44	-1
Fam177a	-1
Zdhhc3	-1
Glrx3	-1
Yipf5	-1
Rps4y2	-1
Chchd1	-1
Tmem147	-1
Nme4	-1
Nutf2	-1
Polr2j	-1
Skiv2l2	-1
Ggh	-1
3010003L21Rik	-1
Kdelc1	-1
Crip1	-1
Mrpl37	-1
Mzt2	-1
Rpl14	-1
Higd1a	-1
Acat1	-1
Setd3	-1
Mrpl50	-1
8430406I07Rik	-1
Pter	-1
2410016O06Rik	-1
Romo1	-1
Rps7	-1
Mthfd1	-1
Cxcl2	-1
2410004B18Rik	-1
Rala	-1
2010107H07Rik	-1
Pak1	-1
Itgb2	-1
Ncoa4	-1
Pex7	-1
Wdr83	-1
Polr1e	-1
Cops3	-1
Eif2s3x	-1
Cct3	-1
Aup1	-1
Prorsd1	-1
Iah1	-1
Gng5	-1
Pkn1	-1
Wbp5	-1
3110001D03Rik	-1
Srp9	-1
Snrnp27	-1
Rhoa	-1
Snrpc	-1
Rnf19b	-1
6720489N17Rik	-1
Mrpl32	-1
Maf1	-1
Iscu	-1
Ndufb4	-1
Rps23	-1
9430016H08Rik	-1
BC028528	-1
Dem1	-1
Taf10	-1
Tmem128	-1
Polr2f	-1
Rpl6	-1
Mlf2	-1
Usp28	-1
Gtf2h5	-1
Gins4	-1
Hdac1	-1
Tubb4b	-1
Tst	-1
Tubgcp6	-1
Myg1	-1
Bap1	-1
Zc3hav1	-1
Cdc23	-1
Arpc5l	-1
Smarcal1	-1
Txnl4a	-1
Mrps7	-1
Mosc2	-1
Pdcd7	-1
Mrpl13	-1
Rexo4	-1
Psmb7	-1
Ctsa	-1
Cog5	-1
1810037I17Rik	-1
Mrps12	-1
Ccni	-1
Mrpl43	-1
Romo1	-1
C330018D20Rik	-1
Ndufs7	-1
1810013D10Rik	-1
Rqcd1	-1
2410001C21Rik	-1
0610011F06Rik	-1
Mcee	-1
Prps1	-1
Ndufa8	-1
Swi5	-1
Mea1	-1
Ncbp2	-1
Stk11	-1
Ilk	-1
Ino80c	-1
Tomt	-1
Trmt5	-1
Tomm5	-1
Nsfl1c	-1
Usp39	-1
Coro1a	-1
Nmd3	-1
Timm22	-1
Nudt19	-1
Nanp	-1
Alg5	-1
Ncstn	-1
Mrpl9	-1
Rbbp7	-1
Atp5j	-1
Cript	-1
Hax1	-1
Eif2b3	-1
Wdr48	-1
Purb	-1
Seh1l	-1
Ubac1	-1
Dctn3	-1
Rilpl2	-1
Nfyb	-1
Gna11	-1
Dtwd1	-1
Higd2a	-1
Cutc	-1
Cct7	-1
Cox16	-1
Txnl1	-1
Naa20	-1
Znrd1	-1
Urod	-1
Sap18	-1
Ufc1	-1
Ilkap	-1
1110021J02Rik	-1
Lsm1	-1
Txndc9	-1
Whsc2	-1
Bax	-1
Pycrl	-1
Anubl1	-1
Fem1a	-1
Rcsd1	-1
Aida	-1
Rpl22	-1
Timm8b	-1
Impdh2	-1
Tslp	-1
Mrpl14	-1
Unc119b	-1
Snx3	-1
Ccdc56	-1
Hddc2	-1
Farsb	-1
Trim27	-1
Pam16	-1
Dnajc15	-1
Slc16a7	-1
Ndufa13	-1
Vav1	-1
Ppp5c	-1
Tgds	-1
Atp5k	-1
Pole4	-1
Vkorc1	-1
Esd	-1
Cwc15	-1
Gstp2	-1
Nenf	-1
Nono	-1
Ube2n	-1
Vars	-1
Anapc16	-1
Polr2b	-1
Paip1	-1
Mlh1	-1
Mocs2	-1
Mapkapk5	-1
