Gene	direction
Nfatc2ip	-1
Zfp617	-1
---	-1
---	-1
Nudt12	-1
Kazald1	-1
Zfp148	-1
Tuba1a	-1
Ppp4r1l	-1
---	-1
Arhgap15	-1
Mbtd1	-1
Rab1	-1
Ankrd32	-1
Caml	-1
Marcks	-1
Strbp	-1
Ppp2r2a	-1
Git2	-1
Cdkn1b	-1
Afp	-1
Actr6	-1
Ppp3ca	-1
7-Mar	-1
Iah1	-1
C730026J16	-1
Apc	-1
Zeb1	-1
Xpo1	-1
Rfc4	-1
Birc6	-1
Ugp2	-1
---	-1
Peli2	-1
Dcaf10	-1
Ttc28	-1
Mudeng	-1
Pola1	-1
7-Mar	-1
1110057K04Rik	-1
Gbp6	-1
2010106G01Rik	-1
Foxp1	-1
Tmem41b	-1
Pdcd4	-1
Sdccag1	-1
Fbrs	-1
Slc25a32	-1
Hmgn3	-1
Ablim1	-1
Pard3b	-1
---	-1
Zmynd8	-1
Pop4	-1
---	-1
---	-1
Tubgcp4	-1
Snx6	-1
---	-1
Atp7a	-1
Snhg6	-1
Smchd1	-1
---	-1
Iah1	-1
Dmtf1	-1
Dram2	-1
Calcrl	-1
Frmd4b	-1
Trim68	-1
3110052M02Rik	-1
Tmem167	-1
4833408D11Rik	-1
Zfp110	-1
Ttpa	-1
Pbrm1	-1
Hist1h2bc	-1
Ctbp2	-1
Rfc4	-1
Sfxn3	-1
---	-1
Polr3k	-1
Orc6l	-1
4930539E08Rik	-1
Dctn6	-1
Mbd5	-1
Ptcd3	-1
Ilf2	-1
Zfand1	-1
Ddx11	-1
Rap1a	-1
Fbxw11	-1
Mcart6	-1
---	-1
---	-1
Ift27	-1
Mbtd1	-1
Zdhhc14	-1
Srp9	-1
---	-1
Cnn3 /// LOC100047856	-1
Cdc6	-1
Cycs /// Gm10053	-1
Zdhhc17	-1
Uba2	-1
Psmc6	-1
Tmem184c	-1
Ndufb6	-1
