Genes,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old
Anxa6,0,0,0,8.853869556,0,0,0.971663282,4.788576892,0,0,0,4.781354218,0,0,0,0,0,0,0,7.32144206,0,0,0,0,0,9.461738084,0,0,0,5.754033686,0,0,0,7.460357435,0,6.330507985,0,1.034677561,5.747488228,4.514272647,0,8.431301487,0,3.107396797,1.072733474,6.435059693,1.089833289,0,0,7.935039098,0,0.993008724,0,0,0,0,0.977504851,4.632802929,2.5897466,6.05302571,7.295479978,0,2.517031578,4.563955174,6.489754429,3.816180291,0,0,1.9963855,0,0,0,0,0.937481171,9.064973363,0,5.083822085,0,22.29773337,0,0,0,0,0,0,0,0,2.183560618,0,0,0,0,0,0,0,0,4.729428851,0,0,9.52285231,0,0,0,0,0,0,0,0,0,0.978017185,0,0,0,0,0,0,0,7.669689435,0,0,0,0,0,0,8.177907715,0,0,7.711483633,0,0,0,0,0,6.470292393,0,0,8.23042949,0,0,0,0,6.472872832,3.428807166,7.345739792,0,7.77057345,4.879522458,0,0,0,0,0,3.004020941,8.767975605,0,5.51949008,0,0,0,0,0,0,0,8.894518197,0,0
Dhx40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.697610273,0,0,0,3.513870965,0,0,0,6.329816161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.04480697,0,0,0,3.961755546,0,0,7.077744913,0,0,0,0,0,8.28433219,0,0,3.094390162,0,3.2614445,0,0,0,0,0.930254707,0,0,0,6.161548843,0,0,0,0,0,0,0,0,0,0,1.048485955,0,0,0,0,3.426140439,4.701450609,0,0,0,0,0,0,0,0,2.456983213,0,8.097601133,0,0,0,0,0,0,2.906112409,9.217543869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lsp1,0,0,0,10.72547139,0,7.721369008,0,3.156627882,0,0,2.518340837,7.434169511,2.619339282,0,0,0,6.403334013,0,0,0,0,5.352288648,0,0,8.238611199,0,0,0,0,8.339037047,0,0,5.320909431,7.320131735,6.290922748,0,0,0,0,5.873204122,9.049473377,0,0,0,0,7.780385854,8.590766798,5.968952685,0,6.994397122,2.927398333,0.993008724,7.87162307,0,6.387312657,7.455958998,0.977504851,8.62776989,3.005552227,0,0,8.007054972,0,8.510668097,7.904860988,8.618080472,6.058577916,0,0,7.768987973,1.455582085,8.153005436,8.658104378,8.629112135,1.135535596,0,0,8.609754774,0,0,5.5696186,0,7.329904998,5.168016536,0,0,0,7.512625956,0,0,0,1.070617507,0,0,6.835831626,0,0,0,0,0,7.990369659,0,0,0,0,0,0,7.375527413,0,0,6.458306798,0,0,0,8.052663845,0,6.306922069,7.535442531,4.919798866,0,0,0,0,0,0,0,6.772196679,0,0,0,0,0.932014926,1.825195756,0,7.156851615,7.924547277,0,0,0,0,0,0,0,0,0,0.976202458,9.170153803,8.462878629,4.032168385,0,0,0,0,5.579565931,0,4.165942871,0,6.240604794,0,0,0,0,5.347656676,6.384401684,0,0
Cxcl16,0,0,0,0,0,0,10.39046863,0,6.668784672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.149027247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.855008417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.520452947,0,0,0,0,0,0,0,5.720831206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.016084192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perp,0,1.131179025,0,0,0,0,0,0,0,0,0,0,0,0,5.596753519,0,6.845849302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.80096932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.643082224,0,0,0,0,0,0,0,0,0,0,0,0,0,3.814632437,0,0,0,0,0,0,0,0,0,0,0,0,0,7.996645984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.927867226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.305754544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.189501715,0,0,0,0,1.162522298,0,0
Ptprk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.824916687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.408662444,0,0,0,0,0,0,4.011249628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.161855639,0,0,0,0,0,0,0,0,6.053435629,0,0,4.997352087,0,0,5.076884195,0,0,4.490964198,0,0,0,0,0,0,2.151497084,5.134695456,0,0,0,0,0,0,0,0,4.953238527,0,0.950490853,0,0,7.357868746,0,0,0,0,0,0,0,0,0,0,0,0,0,5.89996758,0,3.240609861,0,3.025219438,0,0,0,0
Slc6a15,7.292080912,0,0,5.58742418,0,0,0,0,0,0,0,0,0,0,0,8.364112318,0,0,0,0,3.137123391,0,0,0,6.587907822,0,0,8.546448236,0,0,0,0,0,0,2.307043623,2.254972442,0,0,0,0,0,0,0,1.960549096,0,0,0,8.703855666,0,0,0,0,0,0,0,0,0,0,0,0,2.02845092,5.700172592,0,0,5.265448559,0,0,3.820529891,0.859796436,0,5.789203419,0,0,0,0,0,0,6.194395273,0,0,3.261721643,0,0,0,0,0,6.959287871,0,0,0,0,0,0,0,6.527856154,1.902690887,0,0,0,6.859802809,0,0,0,0,0,3.2614445,0,0,0,6.878808561,0,0,0,0,0,0,5.278353765,7.913682938,0,0,0,0,0,4.029830934,0,0,0,0,6.234086778,0,5.88442026,0,0,0,0,0,0,0,0,0,2.85147256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.272619849,0,0,0,0,0,0,0
Socs2,0,0,0,0,0,0,0,0,0,1.511061366,0,0,0,5.203762496,0,1.483911285,0,0,0,5.181441553,4.856116626,0,0,0,0,0,0,0,0,7.134877049,0,0,0,0.895985181,0,0,0,0,0,9.086496026,8.142043357,0,6.536645351,0,7.202595921,8.218309791,5.061029063,9.216061354,0,0,7.664781019,7.215982431,8.04484043,8.281977068,6.387312657,0,0,6.728254631,0,0,6.667110715,4.077954416,0,5.424864343,6.471125331,7.282792856,0,2.052555132,0,0,0,6.941549117,7.084280779,0.937481171,0,0.876799185,6.553376233,0,0,6.211427665,0,0,0,4.53748579,0,0,0,0,0,0,0,0,0,3.093095675,0,0,0,4.918821405,0,0,0,0,0,0,0,0,0,5.802893346,0,0,8.243067805,0,0,0,4.725194898,0,0,0,0,5.720404144,0,3.640889629,5.70607556,0,0,0,0,0,0,4.396952213,6.811917709,0,0,0,5.246282488,0,3.091160103,5.850040273,4.784778275,0,0,0,0,1.69823047,0,0,0,0,0,3.490493113,2.117543723,0,0,0,0,0,0,0,0,7.691326783,0,0,4.546974255,0,0,0
Plek,0,0,0,0,0,0,0,0,0,0,0,0,8.580214157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.158476168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.630875677,0,2.801076546,0,0,0,0,0,0,0,0,4.218927044,0,0,0,0,6.332579845,0,0,0,0,0,0,0,0,0,0,6.155884384,0,1.012943003,0,0,0,0,0,4.082638453,0,0.842500475,8.575447302,0,7.790907727,0,0,0,0,0,0,0,0,0,0,0,8.532724475,0,0,0,0,0,0,0,0,0,0,1.079848598,0,0,3.125230081,0,6.51052464,0,0,4.752790354,0,0,0,0,0,0,4.548767999,0,0,1.030345919,0,0,0,0,0.849115235,8.644321664,0,0,0,1.008042096,0,0,0,0,0,0,7.205153748,0,0,0,0,0,5.086799714,0,0,0,1.401580725
Btg2,0,0,0,0,5.893480922,0,0,0,0,0,0,0,4.645936791,6.652820333,0,0,0,0,0,0,0,0,0,0,0,0,9.050445102,0,7.38793846,0,0,0,0,0,0,0,0,0,1.730166356,6.970344137,0,8.419485522,0,0,0,0,7.857102271,0,0,0,0,0,0,0,9.109704132,0,0,0,0,0,0,0,0,7.638920762,0,0,8.419225346,0,0,2.038625848,0,0,0,0,0,0,5.74138728,0.934388603,0,1.48180208,7.690927123,6.502024978,0,7.469616948,6.896862702,0,0,3.761633486,9.278232652,11.54359888,1.49680005,9.583402127,1.88926718,0,1.335331659,0.951345443,0.914796414,0,0,0.927963779,7.731433776,0,6.943794451,0,9.021523132,10.98443992,0,2.826569939,8.116950334,0,7.020534096,8.440391371,9.693982083,0,6.198009896,0,8.221684462,0,9.465886109,10.43855337,8.783948861,10.21615731,0,1.562615041,1.000364778,1.048485955,0,0,8.127656517,0,0,11.57288651,0,1.017733302,0.955284564,0.946210145,11.58125448,10.45584508,10.41662276,0,1.50649236,2.309468278,10.25492172,1.345815807,0.86214546,9.833094591,0,0,0,0.916776393,0.911976442,1.023327141,0,0,11.66485754,0,0,0,0,10.265574,2.568852493,0,9.171398665,0,10.15581264,0
Stxbp4,0.754180128,6.248137426,0,1.023444302,0,0,0,0,8.615734717,0,0,0,1.606040528,0,0,0,0.996431715,1.017630907,0.891540011,0,0,5.56372554,5.454486338,0,0.981183635,6.054196782,3.095138646,7.901104122,0,0,0,6.585951037,0,3.662306135,9.175672717,8.161201607,8.153549606,0,0,1.358931475,0,0,5.340071049,0,0,0,0,0,1.242677288,0,2.927398333,0,7.205626816,0,4.819335242,7.385492333,0.977504851,0.953647808,0,0,0,0,3.775547367,0,4.436661028,2.718701694,0,0,0.859796436,0,2.132389212,1.170436106,8.303853784,2.423353672,1.135535596,0,0,0,6.781158786,0,3.261721643,0,0,0,0,0.959578595,0,0,0.969142947,0,3.26700311,8.509661111,3.386475998,0.862797219,6.082152905,3.96703915,0.914796414,7.57776447,0,2.783891336,0,6.365489167,8.242735471,4.216068268,0,8.228282321,0,6.658740934,0,3.248902763,0,0,1.995828099,0,8.162492588,7.766506485,0.955606872,3.900745503,0.924439184,0,5.582736267,0,0,0,6.730374651,0,6.052461922,5.136078107,7.148014949,0,0,0,8.197961167,3.976172665,7.874576861,6.60197305,6.133719547,3.827756676,0,0,4.467724958,0,9.996849189,3.943169041,5.944335831,0,5.583393851,7.247120564,0,0,0,1.621935144,9.774328048,0,6.801249705,3.63479711,0,0,1.030416121,0,0.993767798,6.300450586,0,0,9.217685342,9.486156692
Id2,5.114366735,7.109915152,0,2.645565141,0,0,0,0,0,0,0,0,0,0,0,4.638335486,0,0,0,0,0,0,0,0,0,0,0,1.65598417,0,0,0,0,6.9279137,0,0,7.044452183,0,0,0,5.968858395,7.25937445,1.05243569,0,0,0,0,0,0,5.621327702,0,0,0,0,0,0,0,0,6.856560432,0,0,0,0,0,0,4.50891896,0,0,5.994636403,0,0,6.788882895,6.228976798,0,0,0,0,0,0,0,0,0,0,0,0,2.348845419,0.959578595,0,0,0,0,0,3.703728056,9.273452484,0,0,0,0,0,5.49204616,0.927963779,0,0,6.614191807,0,0,0,0,0,0,0,0,1.006243917,0,0,6.683810157,7.954896335,0,0.874718089,0,0,0,0,0,0,0,0,0,0,0,0,2.989317364,0,0,2.363103546,0,0,5.553234514,0,0,0,0,0,7.003536975,0,0,0,4.29782258,6.946250334,0,0,5.451138478,0,0,5.797734963,0,0,0,0,0,0,0,0,0,8.084408278,0,0
Itgb3,0,0,8.921301058,0,4.566690488,0,0,8.29203804,0,2.860120726,1.084590364,0,0,5.932746883,5.715484502,0,0,9.341759213,6.775626381,0,0,0,5.896041286,0,0,4.435062235,0,0,0,0,0,0,0,0,0,0,0,0,0,7.182499434,0.826064513,0,0,0,0,0,0,0,5.697628765,0,0,0,0,4.383967712,0,0,0,0,0,0,0,0,2.517031578,0,0,8.518761593,4.066443228,0,0,0,0.918370046,5.140926902,0,6.085990043,0,7.838215773,0,0.934388603,0,0,0,4.63468012,0,7.152465022,5.274219665,8.171483283,0,0.940408371,8.380623346,0,0.944375687,0,6.405900172,0.862797219,4.134057656,0,0,7.57776447,0,0,0,0,0,6.98113433,6.467172229,7.145991186,0,0,0.971211466,4.597110819,0,0,0,8.912762429,3.276574905,0.974278875,6.505155146,0,0,0,6.921171819,6.174296899,5.413504969,0,5.211353659,0,6.222306269,6.306312275,8.478149813,7.815593272,0,7.743495982,7.128018177,6.299590586,0,7.957051019,1.195823963,2.022283598,0,0,3.885096043,3.565725051,5.703942637,6.374982812,2.001839765,7.60256962,0.994422509,5.954830779,6.925616853,0.916776393,8.596531394,6.116712775,0,0,7.254079886,0,0,4.387169523,7.014408254,9.767642715,7.827428905,0,2.169458062,0,8.489246685,0
Trim47,6.537900785,0,0,4.183290553,0,0,0,5.592787428,0,0,7.38319155,7.911228585,0,9.39005185,0,7.957927852,8.332105978,2.630537734,8.856282679,0,0,6.124744885,8.63472445,9.436961808,0,0,0,8.945913807,4.924232944,0,0,7.58483419,2.354218702,6.690863914,0,0,0,10.32770369,5.150875068,7.025573809,0,9.694920016,8.074234626,8.300578202,0,5.127753639,1.089833289,0,0,3.927151038,7.474218233,7.851611342,0.840810761,6.713399278,10.6080546,0,7.192042774,1.511496015,0,4.439601287,0,6.93598214,8.268267014,5.943077183,0,0,7.439487945,6.496182944,7.197087196,0,0,0,7.843768037,0,7.948749169,8.88810555,0,8.596068993,4.157848474,8.54468557,8.421971955,6.345901565,7.820810121,7.86666392,8.770709845,0,1.012943003,4.568485996,5.383190611,0,0,0,8.276455596,0,8.579717643,0,7.621092884,3.414324322,2.125356046,0,7.80600673,0,5.918802903,1.031463387,0,7.886576926,0,0,8.005865088,7.970592732,0,0,3.314998718,0,0,0,7.159266305,0,6.96949382,6.439179929,7.189860338,7.839359197,8.340245289,7.378296389,7.933630295,9.681320541,8.404483661,8.340009263,8.494523774,7.585424559,7.019828504,7.67385643,5.808974492,8.7971403,7.679455218,2.445917743,7.279533942,0,7.200762749,9.754196125,8.488584152,7.95145453,6.511696277,5.780228776,0,8.735418085,0,8.045082682,7.927430686,4.583881965,1.823952884,0,5.574395628,9.230876895,10.17525046,4.048958077,7.143292475,5.637241456,9.433272166,1.62030493,7.174177206,7.189215187,0,5.864220646,3.640941776,5.6063229
Tc2n,0,0,0,0,0,0,0,6.334836838,0,0,0,5.732143322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.531422034,0,2.944711505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.946156289,0,0,0,0,5.690762213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.851032031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.527501424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.213629876,0,0,0,0,0,5.393410656,0,0,0,0,4.128336373,0,5.874758493,0,0,0,0,0,1.50649236,5.462382984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02229859,0,0,0,0,0,0
Gadd45g,0,6.020053432,0,0,3.595145109,6.214848221,1.540049866,3.271171057,0,0,0,0,0,0,1.007590961,5.617462687,0,2.362865793,0,0.949080768,0,0,0,0,0,0,0.976407532,0,0,0,0,0,1.013906807,0,0,1.127486221,0,0,0,1.358931475,0,0,0.923670436,1.553698399,6.722591698,0,1.727344895,2.104550461,1.242677288,0,0,4.96504362,0,0.823755532,0,4.902073861,0,0,0,0,0,5.203251459,0,1.168180952,0,0,1.751321773,0,0.859796436,0,0,0,0,0,0,0,0,0,0,0,0,5.993707509,0.891282041,0,0,0,1.012943003,0,0,0,0.944375687,0,0,0.862797219,0,1.507846853,0,1.138108107,0,0,1.532835983,0,0,0,0,0,0,0,0,0,0,1.006243917,0,0,0,0,0,0,0,0,6.939392988,4.350817597,0,2.289189658,1.000364778,4.372107796,1.03319931,6.472584688,3.706397435,6.449742114,1.426266852,8.711090301,2.303140617,2.857138594,0,0,9.606559734,8.363123744,4.025448783,2.655288137,1.900981706,4.065528899,6.556153443,1.971584521,2.58643638,0,3.303400071,4.45446486,1.597708922,3.667105572,1.445448462,0,5.029723615,1.954964441,1.05026709,0,4.809582281,2.31920674,2.060832242,0,3.882542066,4.121824013,2.169458062,3.263612696,8.430687014,5.186464983
Syk,0,0,0,0,0,0,0,0,0,6.989102435,0,0,0,3.457304967,0,0,0,0,0,0,0,0,0,5.069127218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.358931475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.559620078,8.33440298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.436272667,0,0,7.667832273,0,0,0,0.944375687,0,5.789926621,0.862797219,0,0,0,0,0,0,0.967111829,0,8.221053942,0,2.2475408,0,0,0,4.510166378,0,0,0,0,0,0,0,0,0,0,5.720404144,1.079848598,0,5.246583246,2.289189658,0,0,0,0,4.069918507,0,0,0,0,0,0,7.362801505,0,0,0,0,0,2.571091202,0,0,0,0,0.994422509,0,0,1.453056205,0,1.023327141,0,0,0,1.094182958,6.013572518,2.581932863,0,0,0.993767798,0,0,0,0.910235444,4.848672676
Ocln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.127859721,0,0,0,0,0,0,3.574046761,0,0,5.602048057,0,0,0,0,0,0,2.196305804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.556236723,1.456229236,0,0,3.784754003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.251966866,0,0,0,0,0,0,0,0,0,0,0,1.275918892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.074074791,8.140631033,0,0,0,3.58076084,0,0,0,0,0,0,0,0
Arhgef28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42597296,0,0,0,0,5.467307343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.718701694,4.066443228,0,0,0,0,0,0,6.39378936,0,0,0,0,0,0,0,0,0,0,0,7.093509564,0,0,0,0,0,0,0,0,0,0,0,0,5.851150392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.199559913,0,0,0,0,3.61252575,7.702712015,3.911013161,0,5.805351988,6.169597815,0,0,0,0,0,0,0,0,0,6.599269986,0,0,0,0.994422509,0,0,0,0.911976442,0,0,5.417682987,8.601503206,0,0,0,0,0,0,0,0,0,0,0
Tsc22d1,5.963219759,5.495246204,4.599007366,5.117221508,7.41226617,7.328936311,0,0,0,0,0,0,7.924177602,0,7.572751223,9.242509886,5.786632626,0,8.780441408,0,1.045707797,7.801226166,8.402506981,0,0,0,8.422207081,8.602565578,7.714901195,0,0,0,5.692792533,2.080413165,0,0,0,7.70960094,5.855042406,10.14796423,9.285126256,8.044667066,8.007192776,0,0,7.780385854,5.590063379,8.370003758,0,8.42456642,0,0,7.822718972,0,2.208011743,8.715628878,9.112229931,8.625166629,0,9.243430534,10.17986029,8.155908832,8.823740201,4.774896231,8.574895316,9.852476405,9.983304194,6.973549472,0.859796436,7.80954649,0.918370046,1.170436106,7.44726145,7.55167561,2.636632002,8.257565413,7.924302436,7.775914769,5.246620626,0.934913021,6.224946892,0,8.723781771,6.627099129,8.882607584,8.508850871,0,0,7.742177423,1.527208529,0,9.656531741,8.673998144,0.862797219,8.783249347,4.992591928,9.136313302,8.957325896,7.562634378,1.855927557,0,8.660578589,0.959299003,8.717114841,5.083445028,8.330477895,6.583353899,0,8.754520035,8.028986467,9.033523395,7.77617295,10.62972917,1.554492654,8.972501714,7.766506485,7.345272728,8.601006761,8.832636322,8.639260665,6.884077395,9.521521121,7.696229572,1.562615041,6.860482635,6.426467155,7.197043517,7.744021712,8.315686803,8.284857403,0,9.372936451,0,7.06562821,1.514090211,9.014995401,5.168265184,9.752940519,3.693751484,4.884247402,8.413506499,7.752589855,0,8.468209077,9.186617435,7.910449475,7.047932582,8.250157163,5.879798677,10.60042821,0,2.046654282,5.876578547,7.967355138,0,6.815467261,6.148100509,7.962200716,1.030416121,11.59498695,7.887175211,6.072994723,8.472481074,0,9.399482129,7.130489857
Clu,0,0,0,0,0,0,6.663648323,5.629872023,0,8.564148702,0,0,0,5.873857434,0,0,0,8.912638634,0,0,0,0,0,0,0,0,0,0,5.17453514,0,0,0,9.119436178,0.895985181,0,0,0,6.061121489,0,6.060061988,9.172032039,0,8.331129304,0,0,0,0,1.667816781,0,1.398879424,0,0,8.929595114,8.097288486,0,0,7.392128652,0,1.001850742,0,0,0,0,0,4.577814816,0,5.551558674,0,6.761599217,7.159835405,4.853955081,0,7.888758741,0,8.95102177,0,7.924302436,2.415359501,0,3.559545694,0,7.901413756,0,7.034494846,5.444913114,0,0,9.323570776,4.041253406,0,4.763803159,0,0,7.700303406,6.992086695,0,7.69288067,0,5.647585485,0,0,0,6.578854332,0,0,10.57878695,0,0,7.458399125,0,6.602977757,0,7.745361021,7.061263446,7.401418759,0.974278875,8.196649935,0,0,0,6.454557348,8.961084128,0,0,8.222166692,0,7.797446149,8.246871089,0,7.126453006,5.271445922,0,8.389652881,7.460918239,0.955284564,0,0,7.820467995,3.812732964,0,0,6.757956006,8.322274241,0,0,3.990191272,0,7.55988591,0,0,9.451846649,0,0,0,0,0,0,7.984983865,9.446255447,0,8.11402158,6.989000437,0,1.162522298,6.034275366,0
Fyb,0,0,0,0,0.971545379,6.578139629,0,0,4.721647049,5.352915999,0,0,0,0,1.007590961,0,2.575738619,0,3.566160045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.455582465,0,0,0,0,0,5.251748102,1.05243569,0,0,0,0,0,0,0,4.646976861,0,0,0,5.829566,0,0,0,4.051026763,0,0,0,0,1.994700332,1.168180952,0,0,7.439487945,0,0,0,5.789203419,0,0,3.360834843,0,7.395475159,0,1.480970897,0,0,6.134690401,6.853564296,5.481159165,3.287809785,0,4.661614576,0,0,8.36660641,0,0,0,0,0,4.513740107,0,5.335906867,0,0,5.546699264,4.179787786,0,6.578854332,0,7.54527037,1.404627691,7.666922769,6.496273223,6.719679307,3.821006141,3.951654565,6.125472455,7.649346407,4.16626394,2.565859109,0,6.689248106,4.159186108,0,0,0,0,0,0,4.461058321,0,0,0,0,4.58980057,7.209096664,0,0,4.538512065,0,0,0,1.275918892,0,1.02720567,0,0,0,0,5.481134597,0,3.885099949,0,0,0,0,0,0,0,0,0,4.278040491,1.583104887,3.56465411,1.62030493,0,0,0,0,0,3.623033616
Oxr1,0,0,0,0,0.971545379,0,3.595581402,0,0,6.550024177,0,0,0,0,0,0,7.212576051,7.306497399,0,0,0,6.408240848,0,0,0,0,0,0,1.744988809,0,0,7.568481072,0,0.895985181,0,0,0,0,0,7.960594756,0,1.05243569,0,0,1.072733474,0,7.347075136,0,3.939193803,0,0,7.215982431,7.189559912,0,0,8.151361553,0,6.250769292,1.001850742,0,7.259626898,0,0,3.019703954,5.132733505,2.718701694,8.593544338,3.99877168,4.176874744,7.412806142,3.050759259,1.170436106,7.828428644,6.551760304,0,8.70466763,1.469554148,0,2.623310313,0,0,1.837556706,5.425646306,6.37662295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.830682053,0,0,0,0,0,0,4.859213448,0,6.629335598,7.084619311,3.100241125,4.020493954,7.088378733,6.892483164,0,3.161842509,6.863204377,7.708010263,0,4.886032914,6.937304619,0,8.045585255,1.924057393,0,5.211353659,0,0,4.445144551,4.546721679,6.576788144,7.857088669,8.340011819,8.161711771,7.540783901,7.069945882,3.602557854,4.552926253,8.043112947,0,6.337781945,5.391588403,7.638270851,0,8.94566283,0,0,0,8.518623425,0,6.729001211,8.497260806,1.023327141,0,0,0,7.823131453,1.094998794,6.799376541,6.800656591,5.111492952,8.361192503,6.095206193,0,1.162522298,1.442689045,0
Ly6e,7.792216644,5.978736127,7.506521427,10.65017121,0,1.458248028,6.89689715,7.225725853,7.763912343,9.000675193,8.226577236,8.305497773,7.070069056,4.707908411,7.491064201,8.39685851,8.32772988,9.724995924,6.889750289,0,4.182831188,8.573242413,5.612080452,6.252666564,7.184156022,0,7.597778231,8.812581258,7.037617683,9.779935783,0,4.215429589,9.673782809,9.729982246,7.638791264,9.793909655,4.7093683,8.740007471,7.668258322,9.716016401,9.150715897,6.361336097,8.769193605,7.132599561,10.26793947,9.485896054,10.35541847,6.427848982,7.92211671,7.116747091,7.179704281,8.879994919,10.06851806,4.155347564,7.46360733,6.49785062,9.112229931,9.838099272,9.649001883,9.069512516,10.60964934,8.375981222,10.71217511,7.035215362,6.849556222,11.60243381,7.005287092,8.026149961,8.239500406,9.389521778,8.938509733,10.88412883,9.544690199,7.467772779,10.62583339,8.794880774,10.50694054,9.744140896,10.72268342,10.28601756,9.512660965,7.586709201,9.759383901,8.53752839,8.774920061,9.974303905,9.338492247,8.606885283,9.860957465,0,6.888862478,10.25780108,4.082638453,8.778897579,8.90030096,8.791184728,5.662429308,8.723980954,9.164966025,8.447521353,0.967111829,10.05822202,8.846259333,8.358244692,0,10.16726374,1.110039701,9.109022603,9.343267799,9.830255069,8.741235829,4.419742689,9.453944069,2.753385396,8.869149097,8.926724316,8.443790443,8.786013227,8.542549599,8.842414801,10.70926034,9.702186173,9.531591936,8.884171858,9.722934239,8.206026162,9.912849561,9.348105013,8.121524395,8.540383806,8.041849856,10.09788873,10.0350664,8.662694132,9.976972439,8.950610166,8.155733438,10.30536161,9.759101907,9.96434668,10.56041276,10.40432351,10.35664806,9.062869347,8.452587048,9.521114162,10.37746541,9.611717438,7.776284222,9.94288925,9.616759146,8.754142952,7.60650396,9.374076266,7.409930951,8.734855524,10.28457625,10.14670356,10.35972731,9.111634205,9.708950244,10.18557335,8.332370848,6.457333398,8.549220219,9.697345351
