Genes,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old
Ampd3,0,0,0,0,0.971545379,0,0,0,1.029811487,0,6.669956464,0,0,0,0,0,0,0,0,0,2.703115442,0,0,0,0,0,0,8.969651963,6.694148178,0,0,0,0,0,0,0,6.502566131,0,0,5.173934441,0,0,0,0,0,4.157144039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.279810039,0,2.517031578,0,0,0,0,0,0,0,0,8.098087348,2.153987055,0,0,0,0,5.190144519,0,0,0,2.912458472,0,0,0,0,0,0,0,0,1.888751373,0,0,0,0,6.991179045,0,0,0,0,0,0,2.693092778,0,0,0,0,0,0,0,0,0,0,0,0,0,5.776064559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39857015,0,0,0,8.458521352,0,0,0,0,0,0,5.00678468,0,0,7.113530678,0,0,0,0,0,0,7.561578921,0,3.471064054,0,5.785487539,7.350147512,0,0,0,0,0,0
Runx1t1,0,1.792876336,0,10.22140844,0,0,7.255998119,0,2.391148223,0,0,0,0,4.163009997,0,4.451733854,0,0,0,0,7.308122068,4.830886029,0,0,0,0,4.743369232,3.977961295,0,0,1.072541213,0,5.722344211,7.601373218,0,0,8.404493705,4.804893796,0,2.71786295,0,0,1.847340873,0,0,4.157144039,0,6.055725574,1.242677288,0,0,0.993008724,5.237257784,0,0,0,6.29800852,0,1.001850742,0,0,0,7.20867833,2.336361903,4.360695975,2.154520118,0,0,0,0.877988363,0.918370046,0,5.12405228,0,0,0,0,0,0,0,0.981876052,0,7.554268992,0,4.183378099,0,0,0,0,0,0,0,0,0,4.705333558,5.979588761,0,0,0,0,0,0,0,4.301124967,0,0,0,3.084718224,0,0,0,0,0,0,0,0,2.47020793,0,0,0,7.044459235,5.955149027,4.742750526,0,0,0,0,1.849309911,0,0,0,0,2.673863453,0,1.514090211,0,1.195823963,0,0,0,0,0,6.283726785,0,0,0,0,0,3.613793114,0,6.196347208,0,0,0,2.438644663,1.094182958,0,0,0,0,0,5.661909786,2.169458062,0,0,0
Npdc1,6.833396815,0,0,4.971872967,0,0,0.971663282,0,0,3.975496308,0,7.169318661,0,0,0,5.015974746,0,1.017630907,0,0,0,0,0,0,0,0.994535316,9.77912669,0,0,0,8.598357287,0,0,0,0,0,0,0,0,7.32778987,0,6.727502999,8.351513254,0.980274548,2.145466949,0,0,3.772367243,0,0,0,3.298703579,0,5.68958934,0,0,0,0,0,8.696577093,0,5.981901598,0,0,0,3.513870965,6.667903573,7.37232215,0,0,0,2.717668479,0,0,0,0,1.469554148,0,0,6.533812317,0,0,7.502680771,0,0,0,0,0,0,0,9.392235351,0,7.121742654,8.514792652,0,0,0,0,0,0,0.967111829,0,0,0,0,0,4.226315118,0,0,5.72920608,0,0,7.350956431,0,0,0,8.20743473,0,0,0,7.110762527,0,8.047674698,7.362314721,0,1.048485955,0,0,4.191529607,7.116025398,7.605026781,0,0,5.301834174,0,6.936587924,0,0,0,0,5.974217318,0,0,0,6.452137795,0,0,0,0,0.916776393,6.018965032,1.023327141,6.963690707,7.585376269,0,0,7.018275346,5.608129271,1.030416121,0,0,0,0,9.105909302,0,0
Slamf1,0,0,0,0,4.857726896,0,0,0,0,0,0,4.733695906,0,0,1.007590961,0,0,0,0,0,8.170931917,0,0,0,0,2.309239492,0,0,5.531483652,0,0,0,1.013906807,0,0,0,0,6.918372058,6.521999465,7.548305623,0,0,8.173211413,0,0,1.38571468,0,0,0,0,0,4.36160952,0,0,0,0,0,0,0,0,7.069110042,1.697610273,5.144136522,0,0,7.508458624,0,0,0,7.241584378,8.209841778,0,0,0,0,0,0,0,0,0,0,8.158368872,0,0,0,0,0,0,4.755478414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.404627691,0,4.74547567,0,0,0,0,1.581656348,0,0,0,7.628603522,4.590457125,3.070920497,6.023279884,0,6.174296899,0,5.870244063,0,0,0,0,0,4.528335236,0,0,1.151570308,6.129164279,4.436204133,0,3.58747189,3.581957181,5.983584446,0,0,7.973788885,6.881056229,0,0,0,0,0,0,0,8.139218754,0,0,7.706476408,0,8.152988216,0,1.583104887,0,0,5.215221371,0,0,1.162522298,6.689072834,0
Lpl,0,0,0.903988395,0,4.394845716,0,6.576396195,0.91247009,0,0,0,0,0,0,0,0,0,0,0,2.847242304,1.045707797,0,0,0,2.278237848,0,0,4.270620762,2.02586927,0.95544375,0,0,4.05562723,0,0,0,0,0,0.865083178,0,1.309281277,1.05243569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.755110139,0,0.927671731,1.485872501,0,0,0,0,0,0,0.981876052,0,0,0,0,0,2.025886006,5.461285184,0,0,7.798076313,1.070617507,0,8.021353446,0,0,0,0,0,0.927963779,3.065671967,0,1.918598006,0,0,0,0,0,0,3.9976089,0.930254707,0,2.317084668,0,0,0,0.955606872,0,0,0,0,0,1.213945057,0,0,0,0,0.924654955,6.16949449,0,0,0.932014926,0,0,4.260026187,0,0,0,0,3.08161701,0,0,0,0,0,0,0.994422509,0,4.032168385,3.045465257,0,0,0,0,0,2.828421916,0,0,0,0,2.307457371,0,0,0,0,0
Cd34,0,0,0,9.666446623,0,0,0,0,0,4.371182092,0,0,5.39270311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.839571358,0,2.153855429,0,0,0.923670436,0,0,0,0,0,0,0,0,0,0,8.206990704,0,0.971786452,5.01389903,0,0,4.201614819,0,4.466293377,0,0,0,3.513870965,4.52710111,0,0,0,0,0,0.927671731,7.847361832,0,0,0,0,2.623310313,0,0,0,0,0,0,0,0,0,4.755478414,7.74069552,5.508439511,0,0,0,0,0,0,0,0,7.909556761,0,8.482448617,0,0,0,0,0,0,0,0,0,0,6.116497637,0,0,0,0,0,0,7.870331512,5.014661598,5.955149027,0,0,0,0,0,5.910687982,7.593256446,7.040844696,0,0,7.400295686,2.630802421,7.194612451,3.602557854,0,1.275918892,1.030345919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.941753363,6.202175739,5.691567286,0,0,0,0,0,0,7.557768162
Lamp2,8.026023905,1.131179025,0,9.415352238,2.255858511,5.165825408,0,8.756236134,7.265610894,0,3.43807011,0,0,0,7.386565583,0,6.717411513,3.765681827,0,6.851574003,5.027088525,4.539399026,0,1.689709073,0,0,0,0,0,0,0,7.181077362,7.869489631,0,0,8.382440886,8.806865146,0,5.975034868,9.962213688,0,1.05243569,0,6.161419818,0,8.40586884,0,2.104550461,0,0,7.296454802,5.093422784,5.574034385,0,8.756195746,9.677586606,7.192042774,6.335898894,8.767740912,7.646142931,5.436540276,4.377970398,0,0,6.775118755,0,5.253965319,6.744254966,0,0,8.070546482,0,5.627339458,0,8.023795797,0,0,0,0,0,5.799834418,0,0,0,0,3.748968587,0,0,5.792838682,0,3.26700311,4.282470029,0,6.115043227,0,0,7.723574432,0,5.770109142,0,5.802670975,8.045534284,4.000204897,7.034764895,8.780896014,7.085495666,0,0,7.588833885,7.454497661,4.085973958,0,8.206846815,6.164569554,0,0,0.955606872,0,5.877170188,0,0,4.490964198,2.427890113,0,0,8.422931185,5.498612436,2.390198386,0,0,7.797712168,9.392986974,8.708453841,0,7.647649553,0,0,7.505775401,0,3.08161701,8.086580986,5.776191779,5.310124533,0,0,0,1.576122387,5.691250581,5.128376707,8.345679362,4.430364224,0,0,1.233445233,7.122238931,0,3.788073451,8.875282126,0,7.738652718,0,1.008406479,2.737551281,0,0,7.301469424
Matn4,0,0,0.903988395,1.023444302,0,0,0,0,0,0,1.084590364,0,0,0,0,0,0,0,0,0,1.045707797,0,0,0,1.96236727,0,0,0,0,0,0,0,0,0,0,0,0,2.904707144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.360454229,0,0,0,2.932514552,0,3.914121243,0,0,0,0,0,0,1.359350847,0,0,0,5.164892143,0,0,4.795993274,0,3.772167598,0,0,0,7.869930939,0,0,5.35913308,0,0,0,0,5.462110204,0,0,0,0.944375687,2.141235014,0,0,0,0,1.449918012,0,0,0,0,0,0,1.63483079,0,0,0,0,0.971211466,4.890085923,0,1.594858875,0,0,0,0,5.278353765,0.874718089,0,0,0,1.923557844,0,0,0,1.048485955,5.831228321,0,0,0,0,0,0,0,0,0,0,2.022283598,0,0,0,0,0,0,0,0,0,6.906200955,0,0,0,0,1.07005385,0,0,0,1.735532027,0,0,0,0,1.008406479,0,0,6.88342109,1.401580725
Vmp1,0,0,0,0,6.674871096,7.969286859,6.142785402,8.247743227,6.547080081,3.167038465,0,8.068918082,0,7.955362433,6.236811276,6.936996186,0,1.017630907,3.717654983,2.203697299,3.981380728,0,8.44301387,0,6.237925984,0,0,0,0,0,0,1.805541593,7.486388046,8.440144729,1.455582465,0,1.152149508,9.619310587,4.285791889,5.666642334,8.920234352,6.745471774,0,3.514247494,8.160637877,7.472213411,9.909589418,9.304586248,1.242677288,8.087425149,0,0,7.787669016,3.872013223,4.416023485,3.887145806,7.226026139,0.953647808,0,0,8.776912924,6.326710034,0,0,6.849556222,4.309040236,8.593544338,0,0,3.661145627,8.034078274,4.049043674,0,5.344054902,7.278091554,5.604778709,6.454748288,7.469832742,2.623310313,0,7.171407406,5.491795403,6.39042539,7.113756043,5.912024553,7.278367657,10.579156,7.480192798,7.25288728,3.938521014,7.884335882,0,7.136318389,4.869503423,6.916468357,4.178611166,6.473845529,6.213423387,6.949687419,6.316978796,5.866586613,0,6.648649419,2.895683818,0,7.26181982,0,7.244145231,0,7.454497661,0,9.100866568,8.614987197,7.993073667,5.15835732,7.631419271,9.808771889,7.172401722,7.405892387,9.341329684,8.246398393,8.627117658,7.652443478,7.818916499,8.008544824,1.048485955,6.47483953,0,7.204112703,8.854823845,1.799748387,6.295655972,5.650629517,7.858019771,5.794841365,8.33360858,9.433548218,2.962591922,10.58316002,7.791316487,7.997076389,7.778214702,6.418407312,2.820699756,0.86214546,9.874330472,6.892081213,7.640354928,7.552103299,4.257377728,0.911976442,1.023327141,8.542233006,4.421854907,4.683594268,2.828421916,4.051977029,6.874576428,5.785487539,0,6.419175138,0,7.948965952,3.487566895,6.160641264,8.409484349
Gpx3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976407532,8.482748261,0,0,7.301168707,0,1.013906807,0,0,0,0,0,0,0,0,8.645042614,0,0,0,7.324059443,0,0,0,0,0,0,0.840810761,0,0,0,0,0,0,0,0,0,2.922183168,0,0,0,0,6.957303084,0,8.285322922,0,0,0,0,7.511238482,7.939664263,0,0,2.623310313,0,0,0,5.152822086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.175544843,0,0.967111829,0,0,0,8.297588325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.606877095,0,0,0,8.164630882,0,0,0,0,0,0,0,6.054796597,0,0,0,4.96639373,0,0,0,0,0,1.023327141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
