Genes,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,
Evc,0,0,0,0,6.295733947,4.110003697,0,6.387949953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.783431234,0,0,0,0,0,0,6.409035405,0,0,0,0,0,7.023254141,0,0,6.357253435,0,0,0,0,5.506089038,0,0,0,2.441142302,6.751211454,0,0,4.255044825,0,0,0,7.258524189,0,0,0,6.842473791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.990387217,4.055869314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.633410069,2.617853216,0,0,0,0,7.050668275,0,0,3.955957575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45711276,0,0,0,0,0,0,0,0,4.704940542,1.528867129,0,0,0,0,0,6.292428114,0,0,0,0,0,0,6.654863576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.797268319,0,0,0,0,0,0,0,0,4.346969145,0,0,0,0,0,0,0,0,0,0,4.014382968,0,0,0,0,0,0,0,0,0
Exoc6b,7.928445127,7.779857302,5.278871729,5.966608415,7.368493239,7.075616791,5.157284151,8.475615954,6.974664706,4.946461043,3.113568961,5.70744982,5.053369899,5.691478059,6.169753864,6.448977801,5.392232062,6.776658184,5.900910298,0,0,5.714284524,7.640959134,0,6.133583823,0,2.335399673,7.277927663,6.542085481,0,1.801650821,0,0,0,6.456455606,7.188734983,5.756601249,7.342787112,7.265379069,0,4.520754135,5.782138404,6.367422056,0,6.510047065,7.441042938,4.608813212,6.593107925,0,7.379043913,6.148719059,0,0.941741737,6.920810168,6.704067342,0.99745339,8.350787161,0,3.170895317,8.722028664,7.433293426,0,6.392500949,6.198596119,7.470573286,6.173046485,8.444275829,5.262704857,5.839521845,6.506783675,4.651284603,6.145298461,6.723970206,0,6.159691666,5.885264691,5.504846228,7.731548101,7.153304693,6.612848246,6.513608707,0,0,0,0,5.805946527,6.849736785,4.637746995,3.937975767,6.509540155,6.178308331,8.237468563,6.772609113,5.142575792,5.823409982,6.88779068,6.305907053,7.446085222,0,0,5.643920785,5.990164532,7.255380167,6.443788709,8.081624467,0,0,6.993634836,5.785427114,5.79955811,0,6.893551067,0,7.93991166,8.520362939,0,6.391271952,0.983090347,0,5.560316338,4.803451802,0,1.690435547,6.389145223,5.942726248,4.933686928,0,0,4.54340212,0,6.255185101,0,0,0,2.915004964,7.043653228,0,7.075302085,2.292951528,0,0,0,0,6.366327147,6.959248416,3.869411362,0,1.604528356,0,0,0,0,0,0,4.626223106,5.562353723,0,0,0,4.186774061,0,0,0,7.367055643,0,0,3.865395799,0,6.09052412,5.159828978,6.73806552,6.740592516,4.937514476,0,0,0,0,0,0,0,5.385602215,0,0,7.369812103,0,4.049334719,5.692531341,5.935870256,3.759024101,0,2.966440518,0,7.109548448,4.587096684,0,0,0,3.725894713,0,0,7.547927264,0,6.234800727,0,2.504679687,0,0,7.281371989,0,0,6.060967644,5.048839204,0,0,6.301347031,0,0
Fhl1,0,0,5.180361582,0,6.038540102,7.058960207,1.979971329,0,3.487332353,4.654456214,5.599095298,5.924225043,5.356181539,5.603721445,7.226760425,6.398304313,6.209863644,0,2.778253762,0,5.036678192,6.613037169,2.975382896,6.472764111,5.847720515,0,2.335399673,0,0,0,5.404952462,7.718005701,4.372566567,3.115595556,6.400657372,0,5.447834791,0,0,1.033370812,0,0,0,3.065769722,0,6.513732774,0,7.370758787,7.023181067,0,5.977955622,6.922432719,0,6.106498859,3.114855572,7.472774268,0,0,7.114187265,1.592732307,0,0,5.747432819,0,0,5.377768166,0.957381462,7.200126591,1.024398491,0.963270472,1.001599622,6.327480019,0,4.149086433,0,4.895332424,0,0,5.645274594,4.426536351,5.94254762,6.659480445,0,1.468712822,0,0,0,0,0,0,0,6.105431315,0,0,7.477430511,0,6.543322308,0,5.052721342,3.573925642,0,4.466943947,0,4.018367513,6.615474995,3.151383463,0,1.012559087,0,0,6.734169005,4.067310822,5.268674146,3.45108338,4.938022158,8.272104138,6.844486091,0,6.015349963,5.414071434,5.787111665,0,0,0,3.976527103,0,0,4.348560495,0,0,6.545791703,0,6.11648581,0,0,0,0,5.397936975,0,0,0,0,4.759440462,0,5.99484311,0,6.189912756,0,0,0,5.234270498,0,0,5.109456674,2.856880118,6.581205888,5.063391683,0,0,0,6.350055647,0,0,5.956853754,0,0,6.709784771,0,0,0,0,0,0,2.555569702,0,0,0,2.375586429,7.238218342,5.510043524,0,0,2.476357814,0,0,0,6.572931393,2.705016126,0,0,0,0,0,0,0,0,0,6.340871929,0,0,5.024737333,0,0,0,0,0,0,5.673846487,0.966318967,0,5.900970623,0,0,0,0,0,0.903049982
Fyb,3.450760761,4.441729919,4.834634902,3.38352824,0,4.813914336,0,4.857559622,0,4.20573809,0,0,4.723023269,0,2.93228537,2.324102757,5.5274025,1.853347914,2.778253762,0,5.411845982,1.034528909,3.3596538,0,0,6.279237917,0,1.819481916,3.535842213,0,0,2.668015194,3.766323838,4.408484675,0,4.588567835,5.522201905,0,0,0,0,5.33485621,0,0,3.468868986,0,0,6.848349277,5.601985952,0,0,0,0,4.971662504,0,2.578379609,4.539248919,3.75163847,0,2.009804404,6.591355795,3.17916222,4.774428033,0,5.807367013,4.3927264,6.275241857,0,0,0,5.816644493,3.43060387,1.862810153,6.126102419,0,5.67040767,6.430440659,0.896337709,0,5.46713092,4.207455153,4.346373664,0,1.468712822,0,5.817636683,5.049585217,6.069646356,0,5.797111032,4.217562287,4.327134576,5.850392463,3.10884637,0,6.634314814,3.693119737,3.60686004,1.616482947,6.079557561,0,5.544434761,1.588679538,0,4.408138734,0,0,0,0,3.410571495,4.418163288,6.647327265,5.511490862,6.32450674,0.978912837,5.57744497,0,5.398987764,6.855599025,5.220910317,0,4.825529717,0,0,0,1.037603292,0,0,6.2410071,0,3.78928423,0,0,3.625627239,0,0,4.335563378,0,0,2.694325752,0,4.967220592,4.527893414,0,0,4.996002689,0,0,3.039786463,5.380754623,0,3.160682095,1.563320586,0,0,5.094260824,4.371535321,0,0,0,5.108614834,5.725904122,3.619508809,0,0,4.67454944,0,4.646207063,5.472285789,4.443637468,2.535185162,4.427850088,4.411083035,5.933849089,0,0,0,2.644699398,7.094138831,0,0,0,2.756886444,2.376798965,0,0,5.972483765,0,2.173203298,0,0,0,0,6.880645026,2.077596872,0,5.289419701,0,0,0,0.944157314,0,0,2.308426183,0.968942368,0,0,0,0,0,0,0,0,0,4.531803692,4.82123327,5.196951057
Gadd45g,0,5.174634921,5.037161012,0,0,0,5.643353602,0,5.461803098,3.807516026,5.999924963,0,0,0,0,0,0,0,0,0,0,4.973347642,0,4.801471133,0,0,0,0,0,0,0,0,2.984741024,5.265967396,5.653310947,0,3.267344091,5.725235261,3.935899262,4.538892622,0,0,0,0,0,7.653326114,0,5.185543592,5.068022345,0,6.351567033,3.903900316,0,0,0,5.074507057,0,0,0,0,0,0,0,5.316873103,4.175771005,0,0,7.892526436,0,0,0,0,0,0,0,4.136347305,0,0,5.382187993,6.347142441,0,0,0,0,0,0,0,0,4.652882726,0,0,0,0,0,0,0,0,7.463161975,0,0,0,6.901212598,0,0,0,0,7.760276964,0,2.723144971,4.520205668,0,0,4.39923525,0,2.936738511,6.276064795,0,4.176096532,0,0,0,4.712848839,0,0,0,0,0,0,0,0,4.497773349,5.147052906,0,3.775701685,0,0,0,0,0,0,0,0,0,0,4.319792148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.430397721,4.947256728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.392744828,0,0,0,4.607500473,0,0,0,0,6.871350241,5.01476052,0,0,0,0,5.664943881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gda,5.686151909,7.107348756,3.06508601,5.345242412,1.049288991,3.23847168,1.979971329,4.367063332,6.315058896,6.196631673,4.670353442,5.673755555,5.174542921,2.816784352,5.924854643,6.529671766,4.938653469,4.996920123,3.899772187,0,0,0,0,5.352958046,0,0,7.00619902,2.883810607,4.104985687,6.564013,4.657199811,5.336030389,0,3.984079036,6.282819286,7.36176363,1.030732301,4.862294471,5.739416875,7.479956184,5.682955257,6.482308952,5.150547889,3.065769722,4.034888373,4.363472326,4.894930071,4.469788818,0,4.43892019,0,3.98265921,5.629053979,4.421423182,0,5.713333675,5.303731117,4.394172741,6.261363629,7.174550875,0,6.610054466,7.070618081,1.517131999,4.876403329,7.06267559,5.28815582,6.461085817,7.32419016,7.299113447,6.238782444,7.592456461,5.432783368,5.034195564,4.97438581,5.472553303,7.679617022,6.785147032,4.567333784,7.108090174,4.744254197,4.797054384,6.130947612,3.93636165,7.405167468,6.107030131,6.081398535,7.853196364,5.838818179,6.676351785,6.762887209,5.023647671,4.818885777,7.097717354,2.681046189,7.155094522,6.649581718,6.5315064,3.656257323,7.044213457,5.977130294,6.472550012,8.354938422,6.517292587,6.052878332,7.317285801,6.004169857,5.624349417,7.974511903,6.302033973,5.512354746,5.195546603,6.410301095,7.962568249,7.531253143,7.63959466,3.802430829,5.159186878,5.548869452,0.945207161,6.576914686,0,0,4.974223447,0,0,0,4.27410391,0,0,3.78928423,0,5.445871381,2.821286369,1.943336643,0,0,5.74340936,0,5.645797236,0,0,0,0,6.642661281,1.56975778,0,0,0,0,5.763591057,0,0,0,4.803743089,0,0,0,0,5.65776542,0,0,0,4.627986732,0,4.224529698,4.357167079,0,0,0,6.797275573,0,0,0,0,0,0,0,0,1.274904025,0,0,0,0,0,0,1.042696702,0,0,0,2.113334865,0,7.328361028,0,4.824030547,4.75324507,0,0,0,4.58440184,0,2.245229981,0,0,6.053881681,0.944988786,7.320631657,2.786522274,0,4.770738997,6.907805559,6.640802694,0,0,2.618861912,0,0
Gem,0,6.101278955,0,6.510853305,1.049288991,0,5.036515281,5.223916133,0,0,0,6.035337476,0,0,5.632281607,6.529671766,0,0,0,0,0,5.980983756,0,0,0,0,0,0,0,0,0,2.668015194,6.255728485,7.195873485,0,0,0,0,0,0,0,0,0,6.340581593,6.536140826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998703461,0,0,0,0,0.985041767,4.445941828,5.600688882,6.214092612,0,0,0,6.147192324,0,0,0,0,0,1.411318649,0,0,0,0,0,6.50038193,6.415809198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.560569142,0,7.104084282,8.207599505,0,0,0,0,0,5.316157717,0,0,0,0,0,0,7.826918424,0,0,0,0,0,0,4.357897702,3.837285212,0,0,0,0,0,0,0,0,0,0,0,0,5.951416454,0,5.207793554,0,0,0,0,0,0,0,1.01234468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.064948874,4.592391853,5.948324294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.736545173,0,0,0,0,0,0,7.267240484,0,0,0,0,0,0,7.101179521,0,0,0
Ghr,0,0,0,0,0,0,0,0,1.541798835,0,0,5.804214472,1.57434109,5.410429305,0,5.397367737,6.083520185,0,0,0,0,0,0,0,0,0,2.335399673,0,0,0,0,0,0,0,0,1.467989457,0,0,0,0,0,0,5.630634999,0,0,2.372172282,0,0,3.018689929,0,0,0,0,0,7.35644111,0,0,0,0,0,0.998703461,6.212853955,0.973004786,0,6.91740291,0,0,0,0,7.208938759,0,0,0,0,0,5.529563935,0,5.789832137,0,0,0,0,0,0,0.900433604,6.088447809,4.231225897,0,0,1.589280732,0,5.200517925,2.130571361,0,0,0,0,0,0,0,0,0,6.538860943,0,2.40949996,0,0,0,0,3.648175658,0,0,0,7.039786001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.848224329,0,5.444107481,0,1.56975778,0,0,0,0,0,0,0,5.329247956,0,0,0,0,0,0,0,4.188348394,0,0,0,0,0,0,0,0,0,0,5.282863457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68232536,0,0,0,1.004625364,0,0,0,0,0,0,0,0,1.93393584,6.92856181,0,0,0,0,0,0,0,0,0.948686099,0,0,0,0,0
Gpr183,0,0,0,0,6.95611092,6.153570864,6.127837578,0,0,0,0,0,0,6.430918996,0,0,0,0,0,0,0,0,0,5.00544363,0,0,4.670799346,0,0,0.948712639,0,4.725705236,0,0,0,0,0,0,0,0,0,0,0,0,6.266026731,1.835363013,0,0,0,0,0,0,0,0,0,0,4.824026032,0,0,7.348732185,0,0,7.115470113,0,0,5.615171211,0,0,0,0,7.740282204,0,0,0,0,6.521515651,0,7.537654204,0,0,0,0,0,0,0,0,8.451091837,0,2.276660562,1.589280732,0,0,0,0,0,0,0,6.769015696,0,0,0,0,0,0.983095791,0,0,0,0,0,6.335501842,0,0,0,0,5.959095519,8.334748613,8.332494327,0,3.784763781,0,0.944174327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.538043633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpx3,0,4.260728831,1.933853961,0,6.409607465,3.869933178,0,0,6.94511823,0,0,5.639286641,0,0,4.178004494,0,0,5.451292111,0,0,0,0,3.921921293,0,0,0,0,0,0,5.62656547,1.801650821,0,0,0,0,5.618401048,0,4.744233162,6.010634225,0,0,5.84651763,4.008401431,0,4.60090776,5.485239244,0,0,0,5.76866297,0,0,0,0,0,3.313468439,5.80140851,0,0,0,0,0,0,0,0,1.970083533,0,1.002815844,6.682727023,0,0,0,0,0,0,0,0,0,4.672979937,0,0,0,0,0,0,0,0,0,2.643121061,0,0,0,0,0,0,0,4.760670752,0,0,0,0,4.981257247,0,0,0,0,0,2.842612737,0,0,0,7.188572379,0,0,3.622407942,0,0,0,0,5.793442202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.966440518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.669963834,0,0,0,0,0,0,0
Gstm1,6.072204982,7.291694205,5.639978728,5.888566307,6.365080607,8.434903034,7.360175365,7.09570458,7.207609207,5.617406298,6.17365813,8.302300914,7.541577216,7.262717316,0,5.134086979,7.440168753,6.993510551,7.181681793,7.060465784,3.871300591,6.060250687,7.681736066,7.631400606,6.971463081,5.857680871,2.335399673,7.72902729,6.731103126,4.785680456,7.653282091,4.725705236,7.852643967,0,5.865637412,5.514766061,0,0,7.186736314,6.152892677,6.141365529,7.128899703,6.102058596,6.131539443,5.930795583,5.506089038,7.87754196,8.102200017,7.134421628,6.556252108,5.683495752,7.596983923,5.829216133,4.703201665,5.785322476,6.212956318,5.827493866,7.374298363,0,7.15383956,7.717900901,4.49842981,7.305120116,3.034263998,0,8.232537791,6.690837162,6.573045549,5.81082396,0.963270472,7.86430887,5.834937016,0,5.616685868,6.362835664,7.689574892,7.465986193,6.864343734,7.331568406,7.832749135,0,0,8.07122057,6.319950335,0,7.936857857,2.846478829,7.000638012,7.090452932,6.226371026,7.694236569,2.796370153,5.949580578,8.157416755,0,6.004487489,5.719460082,7.726387623,0,8.224305665,6.840702875,6.312309612,6.372461666,6.925314205,6.785784162,4.994824614,0,6.667663619,4.627114358,6.901133798,7.261401925,0,8.225420437,7.265058431,4.803418193,7.47638939,7.442134109,5.783169594,2.249346159,0,6.326383158,5.074283792,5.181260601,6.742152256,6.441658522,0,5.05657506,7.789171123,0,5.11182849,7.842078837,0,7.241628756,5.004131473,6.589232409,6.953859236,6.527746015,7.395177441,6.878854585,5.497304052,6.277718817,7.4373536,4.589352751,0,6.791530371,0,5.806890895,6.711193907,5.991424235,6.692736864,4.987752598,2.315157788,7.868353934,0,0,6.868558233,7.52646193,6.131985956,0,0,0,0,6.140738157,5.229993762,5.074568235,5.493137876,6.828360445,5.20028705,5.151660578,0,7.012067992,4.560156354,0,0,0,7.285482393,7.280930208,0,0,4.235139499,8.375635665,8.383361633,0,0,6.878461945,5.782006591,0,1.046443082,6.253270249,0,7.707988178,6.529633127,5.110994211,7.14304839,0,0,4.783143647,1.862947357,0,5.988155437,6.486705097,0,7.654255782,0,5.009359374,7.153428663,5.904955134,0,6.318913187,0,0,6.848724823,0,7.588473547,5.15269584,0,6.675632118
Gstm2,0,2.990344514,0,0,0,0,0,4.438187757,0,4.717633451,0,0,0,0,0,0,4.730866211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.372566567,0,0,0,0,0,5.163828507,0,0,0,0,0,0,0,0,0,0,0,0,0,5.419617754,3.995771951,0,0,0,0,0,4.778196921,4.51769698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.994489553,0,5.025531826,0,0,0,0,0,7.342872261,0,0,2.116676894,7.090452932,0,0,6.674523951,0,0,0,0,3.950408178,0,0,0,0,5.809014448,7.435248782,0,5.484741952,0,0,0,0,0,0,0,6.141985397,0,0,0,2.611588978,4.674484003,4.553507084,0,0,0,0,0,0,0,0,0,0,0,3.542489725,0,0,4.155433025,0,0,0,0,0,0,0,0,0,0,1.056839491,0,5.061965943,0,0,0,4.918398675,0,0,0,0,4.543501559,0,0,0,0,0,3.125465358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.473622055,0,0,0,0,0,0,0,0,0,0,0,0
Hnf4a,0,0,0,0,0,0,0,0,0,0,0,0,0,7.000715427,0,0,0,0,0,0,0,0,0,0,0,0,2.335399673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.890442927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.388590003,0,0,0,0,0,0,0,5.021168003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.169743304,0,0,0,0,0,0,0,0,0,0,0,7.453763394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.677259694,0,0,0,0,0,0,6.722114118,0,0,0,0
Hpgds,0,0,0,0,0,0,0,0,0,3.26165028,0,0,0,0,1.044501124,0,0,0,0,0,0,0,0,0,2.094094818,0,0,0,0,1.503673957,0,4.351345363,0,0.937887717,1.102163973,6.292975923,0,0,0,0,0,0,0,5.83443566,0,2.130790472,0,6.398754158,0.952290646,0,0,0,0,0,0,4.98726695,3.010403502,0,0,0,0,6.539234193,0,0,0,2.9551253,0.957381462,0,0,0,0,5.385807222,1.476242119,2.003987747,2.793910655,0.9021551,0,0,0,0,0,0.914085488,0,0,0,2.422643471,0,1.444856759,0,0,0,1.081783644,1.06528568,0,1.037170245,1.000747915,1.067551015,0,0,0,1.561719104,1.565124722,0,5.876238731,1.037715149,0,0,0,0,0.985876257,0,0,1.03561919,0,1.957825674,0,0,1.966180693,0.968740662,1.890414323,0,4.825529717,0,0,0,0,0,0,0,0,0,0,1.621874961,0,0,0,0,4.991540805,0,0,0,1.002628939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.110248161,1.024296544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979507501,0,0,0,0,0,0,1.016085296,1.004625364,1.817594058,1.646456567,0,1.544991307,0,1.502584706,0,0,0,0,0,3.071474638,0,0,1.472177771,0.966318967,0,0,0,0,0,0,0,0
Id2,4.795305576,4.055526721,0,0,0,0,4.707270463,4.213472823,0,1.028936104,4.561296083,0,3.148682179,0,3.310990226,0,0,4.674508659,0,0,0,5.389330106,0,5.890073387,0,0,0,0,0,0,0,0,0,5.120333855,0,0,0,5.705133425,4.021960495,0,0,5.080317434,0,0,0,0,0,0,0,0,0,0.955091329,0,0,0,4.688469531,0,0,0,0,0,0,0,0,0,5.720487152,0,0,0,0,3.913140143,0,0,0,0,0,0,0,2.301761576,0,0,5.602688659,6.523978357,0,6.070243416,0,0,0,0,0,0,5.548774473,0,0,0,0,4.170805022,0,0,0,0,3.540092232,0,0,0,0,0,4.75947295,0,5.673606949,0,0,0,2.702515274,5.376045494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78928423,3.794177497,0,0,0,0,0,0,0,1.521149053,0,3.178258542,0,0,2.453905306,0,0,0,0,0,0,0,0,0,4.246687177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.417197468,0,3.115224792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.067404867,0,3.16731254,0,0,0,0,0,0,0,0,0,0,2.529491182,0,0,0
Il12rb2,0,0,5.037161012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.718380387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.845609612,0,0,0,0,0,0,0,0,0,0,0,6.83938352,0,0,0,0,0,0,0,3.68752545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.172053405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44239608,0,0,0,0,0,0,0,0,0,0,0,5.224753988,0,4.18559946,0,0,0,0,0,0,0,6.011494179,0,0,0,6.071897668,0,5.698813999,0,0,1.01234468,0,0,0,0,0,0,0,8.261387696,0,0,0,0,0,0,0,0,5.600478885,0,0,0,0,0,0,0,0,4.050482145,0,2.105976703,0,0,0,0,0,0,5.713878824,6.645265955,0,0,0,0,0,0,0,0,0,3.635188115,0,0,3.37218816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.775091377,0,0,4.997832222,0,0
Il15,4.742969663,0,0,0,0,0,0,0,0,0,0,0,4.723023269,0,2.425256504,0,0,0,0,0,4.031544118,0,5.678216343,0,1.047047409,0,0,0,0,0,1.801650821,3.366660338,0,0,0,3.320385909,0,0,4.8748044,0,0,0,5.150547889,0,2.246736013,0,0,0,0,0,0,0,5.201768832,0,0,0,0,0,0,0,0,0,0,0,0,6.456543782,0,0,0,6.173977035,0,0,0,3.452282181,4.190865983,0,0,0,0,0,0,0,3.060221876,0,0,0,4.609380018,0,0,6.746250679,0,0,0,0,0,0,0,0,2.636370135,0,0,0,0,0,0,0,0,6.621284676,0,0,0,0,0,0,0,0,6.008994546,0,0,0,0,0,3.946689487,0,0,5.522050113,0,5.91889282,0,0,0,4.699275039,0,0,5.061860807,0,0,0,0,0,0,0,0,5.025079145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.788955842,0,0,4.947024952,0,4.120529315,5.23814054,0,0,0,0,2.375586429,0,0,0,0,0,0,2.749825203,0,0,0,0,0,1.674778256,0,1.004625364,2.662727166,1.038798436,0,0,0,2.450610104,4.938037069,0,0,0,0,3.071474638,7.454773907,0,0,0,0,0,0,7.954241757,8.750601776,3.344258924,5.395984351,0
Itgb3,0,6.506691566,0,0,6.474034381,5.3974528,4.348331282,0,7.619575032,0,5.778059355,7.140078439,6.997187068,0,0,7.553962699,0,0,0,0,4.437006142,0,0,0,0,6.723500038,3.701520906,0,0,5.754975483,2.85554899,1.683330169,0,0,0,5.056515881,0,0,9.1274728,5.707887704,6.044502525,7.104907908,5.719030234,7.772627948,4.747988466,0.917681506,4.568252503,7.161768904,0,6.997152819,3.123582586,0,6.003640709,4.472638964,6.769161358,2.578379609,6.592638778,0,0,5.452865401,0,5.224802659,2.259247149,0,4.989198512,2.287196153,0,6.167063846,7.463155039,0,4.006398487,0,0,0,6.730773406,6.495221127,0,4.44063297,4.280675189,6.336583612,0,0,6.989126572,5.698691572,4.015422085,7.462436805,3.612518393,3.872423971,5.973874802,0,5.949846451,5.870044459,7.137882485,5.077357308,9.055864295,4.002991659,6.997357984,2.012216328,4.902959691,1.786962821,5.670492363,7.888696353,6.898784149,7.623797259,0,4.994824614,6.970625338,0,3.339377389,4.260886293,0,4.331225625,0,6.911777996,4.803418193,0,7.027782921,6.573434121,7.518930278,2.653531977,4.010784099,6.397434495,0,0,0,0,0,3.930965469,0,0,6.99694208,0,3.069867509,5.885296842,0,0,0,4.201357697,0,0,0,0,5.397480742,0,5.902408925,3.664940991,0,0,0,3.369990745,0,0,0,0,0,0,0,0,0,0,0,0,0,6.404304269,3.161890557,0,0,6.19494275,0,0,5.884460981,6.68298633,0,0,5.176105425,0,0,3.398695815,8.408052967,0,0,0,4.952715628,0,2.749825203,0,5.390663746,0,2.173203298,0,0,0,0,4.1111424,5.704928407,0,0,0.931473678,4.507754117,0,0,0,0,0,6.518967178,2.834966359,0,0,0,0,0,6.302934012,0,0,3.451982705,0,5.692629093
Jam2,0,8.749746575,0,0,0,5.244144625,7.567308049,2.611958067,7.385689825,0,1.964443297,0,1.986597271,5.187289905,0,6.309684717,0,0,0,6.907131022,0,6.827800631,6.451814367,3.987535463,0,0,4.670799346,5.767621215,7.226311829,0,0,0,0,0,0,0,0,6.551293182,5.739416875,4.737966423,0,5.33485621,0,0,0,6.542411178,0,5.1475268,0,0,0,0,6.158198779,0,0,7.111127513,0,5.589415635,0,0,2.581610995,1.516845867,0,0,7.239295689,6.330139187,0,0,5.949045618,0,6.843820053,0,0,0,0,0,0,0,7.344308718,0,5.817852286,0,0,0,6.428691956,2.230727036,0,0,0,0,0,7.809578428,6.439006503,0,0,0,0,5.525398236,0,0,0,3.130249444,7.468685611,0,6.560360557,0,0,0,0,0,0,0,6.304293336,3.850621455,0,5.770608418,7.528422994,0,5.320181403,0,0,0,0,4.899361663,0,0,0,0,3.984849982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.839889322,0,0,0,7.984410251,0,0,0,0,0,0,0,0,0,0,0,0,0,6.981855162,0,0,0,0,0,0,0,0,0,1.455395203,0,0,0,6.101174628,0,0,4.185772327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.007263784,0,0,0,0,0
