Genes,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old
Cd63,8.051217347,10.09277116,9.240490727,8.014331646,7.269293857,9.686715987,1.94841177,9.111695075,9.759787226,4.017167154,0.880562614,9.270111098,9.087011775,6.147388426,1.748882394,8.047322544,9.891302371,13.28839572,8.922413489,10.01064538,0,1.459244613,9.41186825,4.094616669,8.33565,7.044970471,6.237081076,7.934803012,4.788131903,10.6009275,2.224567622,1.523460976,8.025226825,6.067752525,2.274187065,5.939386643,10.4225085,7.789076834,5.506990916,10.930315,8.828908456,7.660388966,0,0.938586315,8.58105112,8.414731053,10.79751049,6.037066268,10.91791542,6.500050762,10.38726985,10.98511539,9.698511498,9.313402678,9.549462198,6.302254369,8.405196904,1.780656925,9.064213989,6.679671235,9.371079097,8.634629826,8.553515968,8.854784714,10.68622959,2.315627854,8.872802853,10.90722641,8.690832405,11.1342009,0.991333999,8.155184932,7.797385002,9.631709052,10.84938795,9.834463402,0.898098149,7.249539274,4.977163033,11.09625956,10.17262565,9.512822293,8.615020012,10.89769771,1.925723568,8.704638166,8.720619218,9.82251563,10.41172331,10.99116037,9.929710393,8.765116799,11.1798387,10.10179227,0,9.543090325,0.906810664,1.566100817,1.516297294,1.506344406,1.38359633,10.43968081,0.949561634,5.558547685,9.927661464,11.26969777,9.624312809,9.121190909,10.38001967,9.135138902,10.32567767,10.19013308,7.558074241,10.2837135,8.757756698,8.486492262,6.492061929
Cd86,0,0,0,0,0,5.411384037,1.229310958,0,0,0,0,0.842467943,0,8.559373198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90111134,11.84577529,1.527947214,0,0,0,0,0,0,0,0,0,0,0,1.199927215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898098149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.813247337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd9,1.019029626,11.04209572,8.497752553,5.695051209,6.542306168,5.607705505,2.458621916,9.115811162,4.047663581,7.522100143,5.959810082,0,6.933800322,0,1.748882394,10.2585439,8.699396653,8.874177631,6.902035627,1.824599257,3.055970212,6.279208125,1.348197473,2.583415486,4.296605617,10.0959028,1.409958522,9.637014663,5.799559864,5.233630016,0.958069127,10.06436441,0.823536549,4.916104557,11.23231963,0,6.677372292,9.425112442,0,1.527947214,0.922209507,1.005029767,5.128774466,0,7.610047688,6.500946831,0,9.562147128,9.385083554,5.608028682,4.694353095,7.58585357,10.35898073,0,1.937031396,0,6.204888108,0,7.87495531,4.699476534,7.518661067,1.724352879,8.847212998,2.780739788,8.344497459,8.239676759,8.360488574,8.865190949,7.377109496,9.112468357,5.782342181,9.256392301,0,10.07191556,9.511596702,1.781669513,0,6.611996783,0.928999481,11.10082239,0,8.429115922,2.1850196,9.201096382,1.214996296,0.912516328,0,7.790239183,8.702334835,9.222274154,1.857151074,9.949540873,1.98343434,10.65881999,8.61649371,9.638711322,1.437260898,1.566100817,10.21091014,0,9.157134718,9.250967285,6.827181553,9.806644278,0,12.05135974,1.093962615,8.829854799,10.35086735,9.887783436,5.912104859,10.56128358,6.59336346,10.29713628,10.55300038,9.386328288,8.40155271
Cldn12,0,0,0,5.288470731,8.816917442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.824599257,0,0,0,3.278659889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.199927215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.823182944,0,4.674907834,0,5.324768705,0,0,0,0,0,4.261528871,0,0,0,0,0,0,0,0,8.362402651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.096394072,0,0.938908874,0,0,0,0
Clec1a,0,0,0,0,0,6.249637577,0,9.607785789,0,0.945676955,0,0,0.883089906,3.881178783,0,9.150006336,0.888199641,0,0,0,6.838589663,0,0,0,7.136138164,0,0,0,0,0,0,9.374761294,0.823536549,0,0,0,0,0.90111134,0,0.964027359,0,0,0,0,7.438074568,0,0,0,9.994439714,5.485318126,1.82029144,10.10081032,6.979322823,2.160344154,10.44070181,0.996888018,0,5.66722261,0,7.969656735,0,5.78996792,0,3.034702443,8.539515249,6.911931711,10.78379447,9.17067927,4.718361098,0,11.03793537,6.041412018,8.823592594,6.982073537,10.70013302,0.890834756,5.786395628,2.806419447,5.889717364,1.445244174,0,10.91228512,10.1128646,10.56911306,1.214996296,0.912516328,9.148452738,6.97626618,4.661609042,2.687514394,9.57312754,3.209702029,1.571834526,10.45297594,10.17905561,6.9120685,7.598509662,1.976199206,11.00782072,11.57072243,0.872952092,10.2020814,8.093647414,1.447251485,3.214307345,0.969035254,0,0,0.971082315,0,0,1.505032025,0,13.13817594,9.254422671,6.911340427,7.097135735
Clec1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.006566076,0,0,0,0,0,0,0,0,0,0,0,0,0,7.203812559,0,0,0,0,8.497814216,0,0,0,0.91184755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.900353619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.020900266,0
Clu,0,0,0,0,0,0,0,0,0,0,0,0,0,5.886153269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.081954599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.171491365,5.315595325,9.633436789,7.144602195,8.858380945,10.00440202,6.547629002,0.996888018,0,0,0,0,0,0,0,7.323719189,1.940600472,9.000651057,1.01779447,0,0,0,0,9.587999301,1.639249569,0,6.633332091,6.098200462,0.898098149,7.800713647,0.928999481,9.52991125,0,5.199222952,0.941036721,0,4.355716161,0,0,0,9.605082707,10.17111408,0,9.915874974,9.231239639,10.10105173,0,9.554068638,10.34423206,1.976199206,11.93427863,1.900795009,0,0,0,0,0,11.71894796,1.733889722,0,0,0,0,0,2.427044232,0,1.530604843,8.548742973,0
Col4a2,0,9.974502694,0,0,0,7.261834915,0,0,8.192461882,0.945676955,0.880562614,7.731681758,0.883089906,9.65209442,0,0,0,0,0.904668109,7.343873841,4.587200269,0,0,0,7.571947595,0,5.488671393,2.936172791,0,0,0,0,5.912917551,5.913341896,3.91775623,2.471499436,0,3.60444536,0,0,0,0,0,0,0,0,8.501083396,0,8.680037503,0,0,2.399854429,0,0,0,0.996888018,0,0,0,0,0,0,0,0,0,0,0,0,4.359416983,0,0,0,0,0.934981567,0,0,1.423451888,0,8.414869612,0,0,3.065903249,0,0.995704378,0,0,0,0,7.595418168,1.647841906,9.586781494,0,0,0,0,0,1.437260898,0,0,0,0,0,9.912276243,0,0,0,0,0,0,0,0,0,0,2.248822197,0.965704137,0,1.024008758
Cpne8,5.34779361,4.479084602,4.263558314,5.05897224,7.369545279,6.590350384,6.542304525,4.510471325,6.814898337,8.260213593,6.611083274,8.512800524,6.877418138,7.856053996,1.103421938,5.851537891,8.158002979,2.853287821,2.539724469,3.804221029,7.243844671,8.267842487,7.441369427,6.297405025,3.579092596,7.14536609,7.126665859,7.617584816,6.349870952,6.722695708,4.333885053,7.22406707,4.694520451,8.033172858,5.281446294,2.129577788,7.444244293,7.080915785,7.701112229,8.102786326,7.691088962,5.453557603,1.878867554,8.74943414,5.560784914,7.215246691,4.817439067,5.385502522,7.447817277,6.037201659,6.481833549,7.690802614,6.259169321,9.703297537,6.217544733,10.36957546,4.829429193,7.464169359,7.101422512,7.558953566,3.420137641,8.899295589,7.152081632,6.415049124,7.767859388,8.352314885,10.6424197,8.982156473,5.522211978,7.183622293,8.743743279,9.645326957,9.242729644,7.063401321,4.869138333,7.106438218,10.17828584,6.951841261,7.94006052,6.95014928,6.553810396,9.090216895,10.06705684,8.581364173,7.520613913,8.496086183,6.209155399,5.892258996,9.045854966,11.13930629,8.493870724,4.507292866,10.93930199,9.97617494,8.108477392,9.084162341,8.475518326,4.340047101,7.747201672,7.716221336,8.320439382,4.014478325,7.067533584,9.161659241,7.312695817,8.293411391,7.066376705,6.73075163,5.664216337,8.143473612,10.61059445,8.828067929,9.76947966,8.78242536,10.84777429,5.251840355,10.15852821
Csf2rb,0,1.00440706,2.344703692,2.796936273,4.79339728,2.705692019,1.94841177,3.17837615,1.70252759,1.891353909,2.641687842,6.861613474,1.399664386,2.321348572,0,0.936556623,2.062335699,1.016361629,2.100574299,2.891921401,5.095369321,4.759850915,0,2.583415486,0.875626944,9.21281614,0,0.883876083,3.448054955,1.810518728,1.518503639,2.484657834,0.823536549,1.860257499,7.414212242,1.912881326,0,1.428227683,1.554554792,3.202429568,1.461667487,4.831534798,0.939433777,3.473182079,0,0.830627555,3.792547917,2.329039671,0,0,1.14847603,1.901839639,2.756329587,7.844057867,0,0,2.316314654,8.42584762,0,3.88480048,1.387494678,1.087945537,0.974417955,4.668532283,0,1.580661918,2.03558894,2.38039143,4.195371922,2.965245513,0,0.932930931,1.639249569,0.934981567,0,1.411939683,0.898098149,3.028635235,7.508312267,2.559879709,2.393923351,0,3.373581355,2.311953969,5.251126628,1.44630416,1.736888115,0,2.506593493,2.079344975,1.471757405,1.855623919,0.99171717,2.411564929,0,2.705192013,0,0,0,0.950397505,0,0.962721949,6.535493777,0,2.787429583,0.969035254,0,0.848691785,2.254783309,0,2.192788145,10.44593308,0.938908874,1.418848834,0.965704137,0,4.425692222
Ctss,7.962474523,0,0,0,0,0,0,0,0,4.998283074,0,0,0,0,0,0,0,0,0,0,0,0,0,2.729744446,0,0,0,0,0,0,3.54527705,0,5.783176552,0,0,0,0,0,0,0,0,0,0,2.975248226,0,0,0,0,0,0,0,0,0.981824409,0,0,0,0,0,0,0,0,1.087945537,0,3.508902939,0,0,0,4.571714702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.561757204,8.324003725,2.01362442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.296246094,0,0,0,0
Cxcl16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.923680122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.438826462,0,0,0.932930931,1.639249569,8.889612729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927811959,0,0,0,0,0,0,0,4.467286179,0,0,0,0,0,0,0,0,0,0,0,5.331557132,0,0,0,0,0
Cyb561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.308103198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.139100691,0,0,0,0,0,0,0,0,0,0,8.257527062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyp26b1,0,0,0,0,0,0,0,0.886585606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.571064483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.468605803,1.02489115,0,5.857456826,1.997620122,0,0,0,6.68821654,0,11.04301043,0,0,0,0,0.875411675,1.087945537,0,0,0.970300236,3.690399071,0,0,0,0,0,0,11.56154895,2.170959968,0,0,6.851911059,0,5.954320855,0.91184755,0.926095969,9.842752344,0,0,0,0.912516328,0,0,0,0,0,0,0,0,0,0,6.647753603,0,9.084466842,0,0,0,4.78996312,2.120185104,1.858286389,0.969035254,12.09035301,0,0,0,0,8.629177404,0,2.248822197,7.720180184,0.89276883,0
Cysltr2,0,0,0,0,0,0,1.229310958,0,0,0,0,0,6.558059443,0,0,0,0,0,0,0.912299628,8.564525896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.320737842,0.980814872,0,0,0,0,0,0,0,6.102403102,0,0,0.998810061,5.937534939,0,9.534306787,0,8.171777845,0,0,0,4.330900878,0.931623585,0,6.668326105,0,0,8.251264119,11.58365361,11.1631155,0,0,0,7.213069501,8.784236732,0,7.173576267,0,6.332520653,0,5.996534152,3.213810179,0.91184755,0,2.869026193,4.705183603,0,1.214996296,1.825032655,9.863875932,0.867220834,0.969682729,1.039672488,0.928575537,0,11.42275838,0,0,0,0,8.006855465,8.100764137,1.900795009,0,6.660941502,0.949561634,7.678732788,0,0,0,1.345144654,0.971082315,0,0,0,0,1.418848834,0.965704137,8.348227036,0
Cytip,2.63415337,2.596354586,0.907055205,1.864624182,1.19834932,2.206396809,5.024762862,1.773171212,0,1.498862511,5.982908596,4.778836508,5.194902697,6.756310701,1.748882394,0.936556623,2.295962764,4.065446515,7.552828112,3.564254839,1.917540518,0.920680844,1.701235799,9.469486634,2.263462815,2.205208965,0,0.883876083,0,1.434802145,0.958069127,1.922393716,1.305274548,3.541330273,6.856073402,7.33034001,0,5.504460659,0.980814872,10.62853617,0.922209507,5.069766247,1.878867554,3.117916249,1.749347834,0.830627555,1.02489115,0.900995535,5.145561934,9.344218799,5.398342345,3.986071926,2.945473227,9.556480868,7.27680635,10.55108565,1.158157327,3.732084679,1.84276414,10.00778883,1.387494678,2.526131309,1.948835911,8.721829592,0.970300236,1.580661918,2.03558894,2.050357576,7.062253194,1.870861621,1.982667997,9.421993953,1.639249569,7.68928997,0.897327822,1.411939683,7.726900896,4.297972215,2.157069996,0,1.852191938,7.759246234,2.983015828,9.739342686,1.214996296,0.912516328,6.763357698,6.380622388,4.445958952,1.647841906,9.384099419,2.604697471,2.563551695,11.91459391,10.30332547,6.509745674,2.344071562,1.976199206,11.41845123,12.0565943,1.745904183,2.702702203,2.204813835,9.377950683,2.60843472,1.53588454,8.187014678,4.317687921,1.94216463,0.950668018,0,0,5.094768134,12.3641971,11.01501936,7.745624012,3.246030965
Cyyr1,0,0,0,0,0,0.853550799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.192919526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.881818007,0,0,0,0,0,0,2.248822197,0,0,0
Dennd5b,5.423202395,6.567977277,7.373708477,7.153094913,6.797547051,7.217051307,10.55820102,6.684109682,4.828730325,7.826540123,7.508977444,8.10781164,6.331688394,5.785893483,9.320696944,7.24399352,6.217397484,9.189595421,11.16069639,6.790194586,8.883191785,8.386043986,10.37150683,8.273241971,6.567067134,11.18874274,6.898629915,7.440338505,6.498858473,7.49624528,7.281241861,6.76050409,6.748681777,7.727824993,7.443651471,7.025218205,9.165169976,6.729144044,7.108875095,7.964885473,6.648626436,9.250867994,7.316218717,7.140136126,6.297365611,8.739531244,9.091158296,7.187493591,10.32150859,6.418617892,6.30726164,8.554620713,7.961147232,11.1013761,8.287708172,6.190129659,7.000359336,6.205553029,8.872316536,7.826457419,6.834649651,7.304733447,8.214784338,5.993986963,6.690043302,7.564381722,6.415953184,7.449755418,6.383298754,7.278923623,7.203812559,7.751106465,6.886264059,5.276901503,9.611876794,6.90235949,7.45350336,8.465888536,10.17509094,8.947209839,4.711478829,6.19934752,6.873125884,8.832260982,9.012663332,6.486644632,6.427249767,6.372970161,9.776485801,8.509589709,10.36687584,7.195077369,7.786714338,7.888149474,6.967241842,10.26649511,6.963834449,8.249374973,6.328141286,6.915210479,5.997499252,6.553589999,6.873311428,9.977630868,6.104336627,7.662055738,5.741036506,5.698325015,6.797576204,6.853796739,8.752506836,9.619680666,8.415342601,7.27767723,7.242632198,7.132048684,8.371195497
Dhrs3,1.615123744,1.591947526,0,0,10.278756,1.707101599,0,1.405204939,0,0,0,0,3.751301908,0,0,0,3.901254756,14.16269892,0,0,0,0,0,0,2.775671742,10.98780908,2.0655519,2.052296709,9.678359196,2.340061509,10.37410327,2.231829989,2.735729198,0,1.958878115,1.912881326,10.70093968,2.70333402,11.7527487,2.892082077,0,3.33863662,3.670264989,0,0,0,1.02489115,1.80199107,9.985279232,2.581886553,4.963630819,3.368621572,3.112309741,9.839910095,3.159162137,10.73796879,1.158157327,1.780656925,3.599738944,2.953176894,10.98643863,11.02570389,8.556714577,2.631677204,8.092158425,11.96004407,3.875104784,10.66713031,3.790912339,10.50378297,3.429452179,3.344522403,11.68740463,4.286855422,10.1635203,8.521773419,1.423451888,7.927507597,1.472429341,1.823695101,2.393923351,5.109838749,11.57104006,4.504130442,7.591208788,0,0,0,4.043504257,4.335356299,10.38369784,4.253983042,1.571834526,11.07230988,2.086095327,9.191814463,3.627242657,0,8.032839328,2.206754668,2.618856275,0.962721949,2.665756526,2.120185104,1.858286389,0.969035254,11.8748202,9.35046548,3.225865624,3.802672071,4.889294393,9.087242855,10.24198664,13.38926717,10.73635393,9.937026462,3.401683464
Dhx40,0,0,0,0,3.364191862,9.315343949,0,0,2.200484989,0,0,0,0,0,3.95572627,8.990861951,0,0,0,0,0,0.920680844,0.8506179,5.733642218,0,0,0,0,5.229052222,0,2.476572766,0.961196858,0,0,7.634155329,0,0.884784109,0,0,1.928054718,1.461667487,0,7.622323449,0,0,0,0,0,1.856769884,0,0,0,0,0,0,0,0,0,2.76414621,3.807976786,0,1.724352879,4.139256842,5.28297603,8.542650406,1.994573268,2.03558894,0,5.990791838,0,0,1.478660541,9.193194497,6.740706003,0,2.672504269,0,0,0,0,0,0,7.463115057,0,0,0,0,0,8.499144607,2.414044759,0,0.927811959,12.02305812,0,0,0,0,0.988099603,8.020497727,0.950397505,0,6.410006337,0,2.120185104,7.732262854,0,1.093962615,0,0,0.950668018,0,0.949569484,0,0,0,0,0
Dnm3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82029144,2.399854429,0,0,1.222130741,0,0,0,0,0.931623585,0.875411675,5.052262617,0,5.708804935,0,0,0,12.30719208,0.927448759,0.93543081,1.982667997,6.198258939,0,6.911680526,0,0,0,0.844816434,0,6.976592742,0,1.02196775,0,0,0,0,0,0,0,0,0,0.927811959,0,0,0,0,0,0,5.718326693,8.412680201,0,4.769513528,0,0,0,7.713522496,1.093962615,0,5.301557494,0,0,0,0,0,8.023397371,1.415005118,0
Dnmt3b,0,0,0,4.217371506,5.343956848,4.741123754,0,5.915676264,3.051748784,9.035554488,0.880562614,7.870398426,0,3.814724765,3.817212741,0,7.115569169,1.016361629,0,0,4.165861179,0.920680844,9.486872174,0,2.263462815,0.949731807,0,5.958621431,6.072364511,1.434802145,8.188515712,0,8.90554404,0,1.958878115,5.931328714,0,9.627358096,3.516184536,2.491974572,0,0,0,10.41707864,3.417255301,0,4.273719229,2.702986605,0,7.745659659,2.296952059,0,0,0,1.222130741,7.137589947,0,4.772416723,1.84276414,10.70281062,2.457591275,1.724352879,2.735537043,6.415049124,0,0,1.613166068,0,6.649738044,2.172003079,0,0,0,0.934981567,0.897327822,9.049642587,0.898098149,7.252717405,0,0,0.926095969,8.036944618,0,0,1.214996296,0,0,0,0,0,0.928575537,3.868906286,12.2894078,0.932920663,9.032772307,0,0,1.566100817,1.516297294,8.51004583,5.565104006,6.202763121,0,0,6.406273001,0,0,7.44988195,0,0.950668018,7.449357282,0,0,0,0,0,4.869046447
Dsg2,0,0,2.344703692,1.477679703,2.39669864,2.206396809,0,2.945173632,5.44154839,2.444539465,0.880562614,1.956149985,1.399664386,6.591333654,1.103421938,3.111173758,0,0,1.809336218,1.4459607,0,3.058435563,1.348197473,3.087149214,6.754801228,0.949731807,3.077457725,2.651628248,0,2.10194715,0,8.135113035,2.610549095,2.159692075,1.958878115,2.611489285,2.054405081,1.428227683,2.277381607,3.334986727,7.06904566,4.481861522,8.744568094,4.056502564,1.386325359,9.815180029,3.674196339,1.80199107,0,0,1.82029144,2.399854429,0.981824409,0,6.217544733,0,0,0,0.92138207,1.476588447,2.908054639,2.175891074,2.735537043,6.160201764,7.330219344,0.997286634,0,3.075536364,0,0.93543081,6.683045424,0.932930931,7.31920592,0,0,3.193609196,1.423451888,2.534449302,2.608031266,0.91184755,0,2.37293563,0.941036721,3.156308201,0,0,2.605332173,2.01362442,1.939365459,5.244517783,2.156085627,6.303940298,9.527754429,1.865841326,6.044581419,7.411476345,2.720431992,2.294296228,2.685732104,0.950397505,2.450686351,1.525878188,2.454581215,6.143358512,1.858286389,0.969035254,8.959361891,1.697383571,7.144788632,2.457441176,0,8.663987169,3.365953107,0,10.78138987,5.809956209,3.401683464
Ebi3,0,0,5.421722869,9.091482432,0,6.234147895,0,6.530875243,0,4.728384773,2.791317446,5.925433406,0,5.119110083,1.103421938,0,0,1.016361629,9.87592333,6.074283862,0,1.459244613,9.066824625,0,0,0,0,0,0,0,0.958069127,0.961196858,8.877492873,0,0,0,0.884784109,1.428227683,0,9.645695808,0,0,0,0,6.67955637,0.830627555,1.02489115,1.80199107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.44203871,0,0,7.430421543,0,0,0,0,0,0,0,0,0,4.906148875,0,0,0,0,0,0,0,0,0,0,0,6.037747138,0,0,0,0,0,0,0,0,0,0,0,0,2.454581215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ect2,0,0,0,0,0,0.853550799,0,0,0,0,0,0.842467943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.235676435,0,0,0,0,0,0,5.986082928,0,4.608023795,0,0,0,0.830627555,1.02489115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.021128391,0,0,0,0
Efna1,0,0,0,0,1.19834932,0,0,0.886585606,0,0,0,1.335280097,0,0,1.103421938,0,0,0,0,0,0,11.46596134,0,0.861138495,0,9.33409382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.005029767,0,0,0,0,0,0,0,0,0,9.297267465,4.769684319,1.363025405,0,0.996888018,0,0,0,0.931623585,0,1.087945537,0,0,9.17848873,0,0,0,0,0,0,0.932930931,0,0,0,0,0.898098149,4.861823537,10.05416269,0,0,5.70765156,0,0.995704378,2.429992592,0.912516328,10.40779699,1.374512502,0.969682729,11.53968655,0.928575537,0,5.313176311,0,0.898432355,0,0,0,7.462942123,0,0,0,10.62835716,0.913114023,7.636784494,0,1.093962615,0,0,0,0,0,0,1.418848834,10.68135982,0,1.024008758
Egr1,4.076118503,2.332160971,2.721165616,7.447947324,5.263530597,10.24230892,11.03938399,11.38862658,3.616106897,9.541986785,13.05456702,1.956149985,7.262532864,11.48745373,2.206843876,2.629246845,9.167932824,2.35991862,9.588561882,9.811679872,1.6516795,0.920680844,9.945577233,1.722276991,9.543109026,11.4930077,11.65151725,1.767752165,0.862013739,4.094996819,4.65428161,8.237318284,9.255728717,9.420338693,3.511252293,10.14632788,6.163215244,6.469897502,3.109109584,12.00628526,12.02097406,4.979114764,11.52767848,2.815758945,10.54325457,11.42006317,6.003792877,10.14073049,12.97873956,10.65707451,12.23864852,12.87476393,9.501821367,14.88674666,13.00155957,12.37710421,10.80666975,12.90228185,11.03960126,12.71093822,11.25976373,14.50254971,4.633247758,11.45183486,10.40517074,12.6531683,11.89801529,12.66559685,12.22829627,10.66173602,10.39196393,12.7211832,13.35071626,12.16901024,12.24876384,10.9682388,13.81777243,9.840344161,12.01264828,13.2180099,10.1526938,12.33801484,11.41863875,10.61509212,5.251126628,12.18659903,11.35836653,11.62763762,12.51194103,13.70924019,12.83788769,13.40261756,12.59717743,9.826760955,11.43708476,11.74735085,11.33995332,14.53584831,13.45412772,13.79808276,12.9960797,12.14113237,11.20798354,12.39536765,11.58584648,10.06426681,13.64382427,4.884125748,10.75390293,13.15891938,12.78590438,13.75941513,11.65848909,14.76633974,13.35685504,9.104853851,12.40257672
Ehd3,0,0,0,0,0,0,0,0.886585606,0,0.945676955,0,0,0,0,1.103421938,0,0,0,0,0.912299628,0,6.782031755,0,4.701326729,0,0,0.889584783,1.400910446,0,0,0,0,0,0.93012875,0,0,0.884784109,5.775574855,0,2.238402209,0,0,0,1.487624113,0,0,0,0,10.52683624,0,0,1.901839639,8.608817392,0,0,1.580030126,2.689158036,0,0.92138207,0,0,4.702022383,6.753434905,8.617310545,4.326987551,0,0,0,8.088372619,5.547794434,0.991333999,3.452254671,1.639249569,0,0,0,3.745001926,2.371699574,0,2.117244445,1.467827383,0,8.848579599,0.995704378,0,0,0,8.141484183,9.528634358,12.14008784,0.928575537,0.927811959,6.861555468,0,4.570741222,1.429209299,4.35936071,0,0,0.950397505,0,0,2.848684901,9.786460635,0,9.059247163,1.093962615,2.690289309,0,0,0,5.331557132,2.427044232,0,1.530604843,6.61487328,0
Enpp5,0,0,0.907055205,0,1.899338735,5.121304796,0,0,0,0,0,5.585020433,0,7.517046478,0,0,10.43846027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.958069127,10.89822227,1.647073097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.156083655,8.302991132,9.842273744,1.199927215,0.981824409,9.674798053,1.937031396,6.637491249,3.847315363,1.123469435,7.957631071,0.931623585,7.588843126,1.087945537,2.262528427,8.15549415,11.12850247,10.21656713,2.630960538,1.025178788,10.23739562,0.93543081,0,7.797018771,2.068502653,10.31669053,11.73224114,1.781669513,0,0.844816434,8.806710948,9.484016435,1.852191938,3.239561121,6.343967985,2.573858478,0,0,0,7.982395867,1.536910764,1.039672488,8.002821945,0.927811959,5.347653774,3.09909536,10.59538963,9.148898201,2.545739381,0.988099603,9.341828822,8.695896831,3.568159237,0,0.949561634,8.015385322,3.214307345,0,0,6.190884706,4.617387162,6.421655511,0,1.899138969,0.938908874,0,11.76638593,0.89276883,10.11677978
Evc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883876083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40766489,0,0,0,1.583076492,0,0,1.55615487,0,0,0,0,1.123469435,0,0,0,0,7.87019414,0,0,0.997286634,0,0,0.927448759,10.99744501,1.571227214,0,0,0,10.52073248,0.890834756,0,0,0,0,1.467827383,1.61978056,0,1.991408755,0,0,0,0,0,0,0,0,0,0,4.364567306,0,0,0,0,0,0,0,0,0,0,0,0,6.827211207,0,0,0,0,0.938908874,0,0,0,0
