Genes,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old
Antxr2,0,10.30967862,0,0,1.19834932,0,1.229310958,0.886585606,0.851263795,6.336451427,0,0,0.883089906,7.532609059,0,0,0,0,0,3.37590978,0,0,0,1.999501666,0,0,0,3.453207155,0,0,0,2.69842073,0.823536549,5.9772536,4.003420752,0,0.884784109,0,0,0,9.852768212,1.005029767,1.878867554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.262528427,0,0,0,0,0,0,0,0,0,0,1.481910722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.237768222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxa2,0,6.275462505,0,0,0,0,8.27070634,5.171356327,0,0,0,4.38879746,0,0,0,0,0,0,3.129637461,0,0,0.920680844,0,8.653138867,0,0,0,0,2.419978512,1.434802145,10.14472059,7.460378658,0.823536549,0,0,0,0,0,0,0,0,0,0,0,0,0,4.099564599,3.334079663,0,6.314405386,0,0,0,0,0,0,0,5.715609003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.154474247,0,0,0,8.369036149,0,0,0,0,0,0,0,0,0,0,5.981952623,0,0,0,0,0,0,0,0,0,0,0,0,7.011972024,0,5.520866592,0,0,4.854088464,0,0,0,0
Anxa6,1.019029626,0,10.47934419,3.64244134,10.48740687,0,4.680423127,0.886585606,0,0,0,0,3.054989142,6.180752569,1.103421938,0,0.888199641,0,8.342475784,0,0.82583975,8.069649375,0,0,0,0,1.409958522,5.946647976,0,2.541384331,1.518503639,8.595516845,9.311893129,0,0,0,0.884784109,0.90111134,2.277381607,0,6.710111103,0,0,0.938586315,0,3.162493908,0,0,0,4.454125167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997286634,0,0,0,0,0,8.391110524,0,0.934981567,0,0,0,0,0,0,9.529544973,0,0,0,0,0,0,0,0,1.039672488,0,0,0,0,0,0,0,0,0,0,0,4.977200274,0,0,0,0,0,0,0,0,0,0,9.333737819,0,0,0,0
Arhgap29,0,0,0,0,0,0,0,0.886585606,0,0,7.97612887,0,2.282754291,0,0,0,5.13500162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961196858,0,0,0,0,0,0,0,0,0,0,8.642482939,0,0,0,0,0,1.856769884,4.164963045,0,0,0,7.528755271,4.774731099,0,0,0,0,8.137461491,0,1.087945537,0,0,5.96710108,2.991859902,0,0,7.684286005,0,0.991333999,6.896521574,10.38134625,0.934981567,0,3.193609196,0,0,0,8.920602952,0,1.02196775,0,0,0,0,0,0,6.370675518,0,0,4.680249192,1.571834526,0.932920663,10.316979,0,7.678515012,1.566100817,0,9.560375875,9.990045878,0,0,3.47654917,0.929143194,0,11.20173798,4.861239037,0,0,0,0,0,1.418848834,0,0,1.024008758
Arhgap30,1.019029626,0,7.188242433,1.477679703,3.364191862,1.981883581,13.21493229,0.886585606,4.135423339,0,11.0799852,7.026056274,7.658531279,4.004659727,0,2.174617135,0,0,0,0.912299628,0,4.377733839,2.551853699,6.305194143,5.503667537,0,6.66463851,0.883876083,5.352634111,0,10.65333552,4.716487823,0.823536549,0,2.274187065,2.611489285,0,0.90111134,2.942444615,11.0273083,0.922209507,1.005029767,0.939433777,3.246975175,0,0,1.62441404,0,1.171491365,1.583076492,9.918956354,3.803679278,0,3.523369559,1.937031396,0,8.280532012,3.370408304,0,0.931623585,7.075207632,0,0,0,0,0,1.01779447,1.025178788,0.927448759,0,1.571227214,0,0,3.55980667,0,4.948220807,11.11473155,4.861823537,0,0,1.467827383,0,0,0,2.429992592,9.301758327,2.75290253,0.867220834,0,0,0,0,1.571834526,1.478644267,0,2.33093997,6.306139375,0,0.956677078,0,0,1.525878188,3.010039162,0,5.161008429,0,4.37585046,0,0,9.39074708,0,7.251505703,9.866791649,1.418848834,0,1.415005118,1.024008758
Arhgef28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.224500639,0,0,0,0,0,0,0,0,0,0,0,0,0,0.958069127,7.52894927,6.037277984,2.790386249,0.979439057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.399854429,0.981824409,3.164846981,0,0.996888018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.569040961,0,0,0,0,0,0,7.47554399,0,0,0,0,0,9.701097563,0,0,0,4.48488074,0,0,0,0,8.746044268,0,0,0,9.679380593,7.299756228,2.401800315,6.275213991,0,0,0,9.711580506,1.096394072,7.449837942,0,0,0,0,0
Art4,0,1.00440706,4.891129588,6.587800388,0,0,0,0,0,0,0,0,6.034056199,5.770915636,0,5.202186976,7.84255656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.548299304,0,0,0,0,0,0,0,0,7.055151891,2.319165142,6.783922259,8.273279475,5.152543329,8.516083928,4.995413991,7.710639344,1.158157327,1.123469435,1.46035603,0,1.387494678,6.31808587,3.49325183,0,1.537889488,0,1.01779447,6.196584637,4.13589432,9.767681251,8.171738626,0,9.075335157,8.012657024,0,1.411939683,4.903105432,0,0,7.417356713,0,11.09968055,0.941036721,9.95282911,0,1.44630416,7.692660957,0,5.656052709,5.676020852,4.511002311,10.44200231,0,0.932920663,8.004936227,10.57196925,1.437260898,0.988099603,4.266236011,1.506344406,0,0,0,0.913114023,0,0,0,0,5.639419661,7.83652187,1.096394072,0.949569484,0.938908874,0,7.564254289,3.64915942,9.748190899
Asb4,10.45857537,1.00440706,0,0,3.364191862,1.352846009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.080312006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.934981567,1.794655644,0.890834756,0,0,0,0.91184755,0,11.30643298,0.941036721,0,1.214996296,0,0,0,0,0,9.392582088,0,0,0,0,0,0,0,0,0.950397505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.102241172,0,0
Aspa,0,0,0,0,4.681819689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.447923914,0,0,9.57274981,0.958069127,1.523460976,1.305274548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981824409,0,7.18935891,0,0,0,1.84276414,7.499428765,0,0,0,0,0,0,8.142355758,0,0,0,0,4.332397078,0,5.609889401,0.897327822,0,0,0,0,0,0,0,0,1.991408755,0,0,0,0,0,0,0.928575537,6.362916785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.21352274,1.506773159,0,0,0,0,2.711074261,1.415005118,0
B3galt1,0,0,3.984074382,0,1.19834932,8.285724146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981824409,0,0,0,0,0,0,0,0,0,0,0.877225735,0.970300236,0,0,0,0,0,0,0,0,7.797606022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.414528016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93937823,0,0,0,0,0,0,0,0,0,0,7.697499118,0
