location,count,count.per,set
membrane,114,38.7755102,AS
cytoplasm,51,17.34693878,AS
nucleus,42,14.28571429,AS
extracel,37,12.58503401,AS
ER,10,3.401360544,AS
other,40,13.60544218,AS
membrane,11,37.93103448,best20
cytoplasm,5,17.24137931,best20
nucleus,7,24.13793103,best20
extracel,3,10.34482759,best20
ER,1,3.448275862,best20
other,2,6.896551724,best20
