Best20 genes, RNDforest scaled
X	Y	ages	KMeans	mismatches
FileGSE100426_SC_Mann_corr_sel_norm_log.tsv0.862
0.13472509889043915	-0.016859622774792346	0	0	0
0.10398272070408202	-0.05579495014997285	0	0	0
0.11742169340930958	-0.004151401447811925	0	0	0
0.08917327270758901	-0.09705293361411123	0	0	0
0.18552153198358953	-0.04624120793749624	0	0	0
0.14075341740470018	-0.14191248304456205	0	0	0
0.12718746536959835	0.11992398080393638	0	0	0
0.17240356257790723	0.009570450063037332	0	0	0
0.19442502507349405	0.015993369567145626	0	0	0
-0.1062668893716228	0.04941295538835203	0	1	2
0.14643764448105515	-0.08784583602320671	0	0	0
0.16130769879530668	0.023751571829503014	0	0	0
0.14319325843053485	0.1718170127533006	0	0	0
0.14517361838583603	0.0487168875083409	0	0	0
-0.004791170780833087	0.0012977739853226207	0	1	2
0.14641143116666236	-0.16375799357890303	0	0	0
-0.22788787446940711	0.11699773690492023	0	1	2
0.06510895594036649	0.1177441698856539	0	0	0
0.2278034961076332	-0.04102101856989712	0	0	0
0.1734758705398936	-0.13422081125406926	0	0	0
0.20639690210127107	-0.01920875505663988	0	0	0
0.19423095770268478	0.09857417543476081	0	0	0
0.07684853867804511	-0.06519436549739177	0	0	0
-0.1365053737651613	-0.04527395105372483	0	1	2
0.23331184601537533	-0.01274486183718894	0	0	0
0.05743970145939688	-0.18221638963922462	0	0	0
0.192989116426379	-0.17074342268797618	0	0	0
0.16735608854433348	-0.09658593767874099	0	0	0
0.10934747491383955	-0.010262323977047174	0	0	0
0.09467272785867731	0.07033234455449636	0	0	0
0.20331032345362632	0.07058820673557173	0	0	0
0.12664351006158645	-0.14413854725999953	0	0	0
0.07157451623930527	-0.02091417208777649	0	0	0
0.049316052187528735	-0.05250578740668448	0	0	0
0.027216233202075234	0.19505177876612148	0	1	2
0.16925081992395463	-0.05080903153046481	0	0	0
0.16861146645029285	-0.13731934676134183	0	0	0
0.11821396025650616	-0.06738868643842212	0	0	0
-0.018393184000774044	0.17791163420431044	0	1	2
0.158497760087281	-0.04240163277527005	0	0	0
0.18126572810706287	0.07680360752758948	0	0	0
0.20982731860108778	0.026008061665081773	0	0	0
0.16071663070297337	0.03405734167350317	0	0	0
0.1763568311315441	0.12531640561626345	0	0	0
0.10001441949454698	0.1309398968291961	0	0	0
0.15565518115181345	0.0004091709388796741	0	0	0
0.15471449392446954	0.06409635076680152	0	0	0
0.18026505503816243	0.05064817364765049	0	0	0
0.1357084035493048	-0.032781098288164334	0	0	0
0.026450604219659262	-0.13918577268349513	0	0	0
0.22108774721332214	0.03725926089201737	0	0	0
0.13026875961882414	0.02840751168038733	0	0	0
0.23758102271616333	-0.012084543926231319	0	0	0
0.1922811286559459	-0.10024580398954878	0	0	0
0.17203796913630776	-0.10772309070118834	0	0	0
0.21731110882580273	0.0017330857907235906	0	0	0
0.20600360128146167	0.051197171603601654	0	0	0
0.2361888830001837	-0.09456112647861635	0	0	0
0.11206738823149616	-0.08131401443500531	0	0	0
0.12782442186880028	-0.16494092139034688	0	0	0
0.23021154793029155	0.14577827433505453	0	0	0
0.17920462563065212	0.18632732152552947	0	0	0
0.074692733303471	-0.1356233268660884	0	0	0
0.21629980561654372	0.06127428108426644	0	0	0
0.1358067387325605	0.08905763285005618	0	0	0
0.11264705649770118	0.09892404725010615	0	0	0
0.06665123491886207	-0.17169184904200374	0	0	0
0.18718982824063513	-0.07427337894494711	0	0	0
0.2696468276041383	-0.038889261529927055	0	0	0
0.07042504799007554	-0.13473398709940426	0	0	0
0.17623596207012485	0.05211509247167949	0	0	0
0.014513441837681412	-0.15515120650037853	0	0	0
0.15770121555351252	-0.05873969412265239	0	0	0
0.18142462558333067	-0.002169734860030726	0	0	0
0.1428164203203703	-0.09786984335319507	0	0	0
0.15223172033744647	0.11987103806618168	0	0	0
0.042016061070862115	-0.04065080485865664	0	0	0
0.014386999464554228	-0.19176651372833098	0	0	0
0.17469672160615202	0.21528959217572774	0	0	0
-0.04233701129476721	0.04995822004960642	0	1	2
0.1107157926481645	0.07552500181899115	0	0	0
0.04597413069853801	-0.08069469474458116	0	0	0
0.22552999733401105	0.08593021110522256	0	0	0
0.10824695699464226	0.162645890547936	0	0	0
0.21492621913653503	-0.014255745629166736	0	0	0
0.13322310665177695	-0.11776876892646077	0	0	0
0.08911723409570521	-0.11778099628403282	0	0	0
0.08550318777035625	0.09594139520810027	0	0	0
0.0013897439250308945	0.30906733337365555	0	1	2
0.10529436606578206	-0.14469466399854958	0	0	0
0.10147730259691308	-0.19272473103033266	0	0	0
0.18042298695609718	-0.12787319135046493	0	0	0
0.18694441195928577	-0.13186661737166494	0	0	0
0.04720876416468823	0.01876320155129789	0	0	0
0.092964331020497	0.04253702282936076	0	0	0
0.17030021875852722	0.09432720880526067	0	0	0
-0.011887197958635088	-0.09516579044338278	1	0	2
