ID	Gene.symbol	logFC	P.Value	adj.P.Val
1415919_at	Npdc1	0.717583706841526	0.000174224274510476	0.0211228199050994
1421193_a_at	Pbx3	0.910710733271562	0.00017923655381802	0.0215162926052345
1418351_a_at	Dnmt3b	-1.12876341589534	0.00018458469739302	0.0217311058492285
1451206_s_at	Cytip	1.03824900199858	0.000185562715065537	0.0217311058492285
1418261_at	Syk	-0.79844356671388	0.000188569247994693	0.0219758699064823
1444763_at	Ptprk	1.54623954771337	0.00020152199911135	0.022836290658093
1449199_at	Muc1	3.19123172017805	0.00021045462076775	0.0234943412159562
1438258_at	Vldlr	1.1169355770997	0.00021935695987632	0.0243675326290195
1431890_a_at	Mllt3	0.674678216905155	0.000228909901130054	0.0251193806590428
1418981_at	Casp12	1.12576248067124	0.000238904463306436	0.0257155852018701
1421028_a_at	Mef2c	0.891228343209519	0.000249909997041512	0.0262731719733548
1420110_s_at	Zfp334	1.16402637803219	0.000256818031856768	0.0266721949589813
1456532_at	Pdgfd	1.19108560756523	0.000258650597995812	0.0267555060096539
1425548_a_at	Lst1	-0.897355095424162	0.000267063756061602	0.0269371799130554
1425603_at	Tmem176a	0.646259538834252	0.000279295730878637	0.0276846522161701
1439269_x_at	Mcm7	-0.699879999530349	0.000281070423862379	0.0277994675145113
1417178_at	Gipc2	1.37916257723569	0.000301636893282001	0.028944947923216
1417817_a_at	Wwtr1	0.775328006658032	0.000303331578727942	0.0289842320597646
1449222_at	Ebi3	-1.49689579902041	0.000308632049286803	0.0292428866699245
1416344_at	Lamp2	0.691935429030741	0.00031396881939053	0.0295696565853154
1430520_at	Cpne8	1.17706526757897	0.000314883460124616	0.0295696565853154
1416343_a_at	Lamp2	0.953294160051862	0.000328037105432481	0.0303794691829781
1442039_at	Tox	1.08388830602744	0.000330865986602946	0.0304284459593328
1416591_at	Rab34	0.808687137579125	0.000331617435385273	0.0304284459593328
1448529_at	Thbd	0.960383478663672	0.000347638451812029	0.030867091635621
1426968_a_at	Rdh10	1.146096871077	0.00035210012773831	0.0308972505053335
1449431_at	Trpc6	0.678190558269923	0.00035221270305291	0.0308972505053335
1426708_at	Antxr2	-0.917439900168814	0.000366029135704413	0.0314443429512471
1435386_at	Vwf	2.04513739505451	0.000376219847986274	0.0320754090057258
1451050_at	Nt5c3	0.765785399682203	0.000383558473359685	0.0323343377700844
1423277_at	Ptprk	1.64097427273743	0.000385119959869717	0.0324054016979181
1427001_s_at	Hnf4a	-1.17809228463057	0.000427516236997844	0.0348039888174003
1416271_at	Perp	1.61172230667745	0.000456317736459491	0.0363611064170663
1425493_at	Bmpr1a	2.24926233976186	0.000457451377617493	0.036387150938142
1434465_x_at	Vldlr	1.62667817916368	0.000471960959102916	0.0372131314973787
1455900_x_at	Tgm2	0.916976390380329	0.000533375033467566	0.0399597132631573
1434802_s_at	Ntf3	3.04326362443253	0.000543740798491596	0.0402680685595558
1423323_at	Tacstd2	1.55393265726347	0.000545603616161144	0.0403397847417766
1440681_at	Chrna7	1.96104526414722	0.00055905756158999	0.0408106613114914
1421818_at	Bcl6	1.10413421430661	0.000625432742496093	0.0437327784795602
1437260_at	Mmrn1	0.891205161137767	0.000632968283520452	0.0439303337460794
1451255_at	Lsr	1.15596851595141	0.000647469597864469	0.0444467676305714
1443928_at	Cytip	1.1336301017561	0.000675127422880454	0.0454461520885543
1433782_at	Cldn12	0.612140241643401	0.000677388134922232	0.0454760185427459
1453304_s_at	Ly6e	0.581533303161972	0.000693805757224491	0.0462205811766348
1428509_at	Myo1e	0.85275000020962	0.000696498658135672	0.0462633077769911
1449195_s_at	Cxcl16	0.601498334636831	0.000714041307612995	0.0465719518654249
1450976_at	Ndrg1	0.972623864201664	0.000730416664293342	0.0469936119490642
1433428_x_at	Tgm2	0.889340452593871	0.000754766629259931	0.0478772570270776
1429527_a_at	Plscr1	1.18750179998835	0.000764337244405609	0.0482806359382876
1437277_x_at	Tgm2	0.8884739972247	0.000776761868215165	0.0484546846727139
1422776_at	Serpinb8	1.31737900146415	0.000801610404273927	0.048600621052417
1420462_at	Il1rapl2	0.998564617903602	0.000802348062630139	0.048600621052417
1448510_at	Efna1	0.599888541229734	0.000817495156872321	0.0488173362369494
1428094_at	Lamp2	0.538555842551199	0.000910768578003061	0.0512191966369792
