Genes,Bersenev,Chambers,Flach,Norddahl,Wahlestedt,Grover,Kirshner,Kowalczyk,Mann,Lazare,Maryanovich,Sun
Lsr,0.933019041,0.227956589,0.52962475,0.612971225,0.303768931,0,0,0,0,0.838625517,0.958077933,1.448290444
Cd34,-0.927987472,-0.173983536,-0.740462989,-0.992122983,-0.817079725,-0.427138788,0.316047872,-0.640145115,-0.686630595,-1.097512246,-0.379778187,-0.859492472
Cpne8,0.926609605,0,0.494884851,1.333076775,1.350834975,0.678143526,0,0,0.480462659,0.662110099,1.752087647,1.503923108
Prcp,0.921887555,1.284930688,0.622744064,0.351342895,0.605932214,0.397592311,0.258338871,0,0.452615423,0.631140031,0.842609892,1.1475762
Abcb1a,0.892528324,1.30301925,0.553104017,1.308481565,1.711737529,0,0,0,0,0.315043536,1.647668801,0.74073954
Pbx3,0.879266164,1.882558768,0.626318276,1.045447531,1.102392205,0.587900704,0,0,0,0.958007746,1.215961414,1.165625987
Myo1e,0.863510272,0.418972154,0.696072965,0.417528284,0.648449885,0,0,0,0,0.510814691,1.895375905,1.002234001
Zfp334,0.858677459,0.877572992,0.123028904,0.628627854,0.435728177,0,0,0,0,0.252693758,1.875907661,1.44496581
Serpinb6a,0.845396994,0.579279944,-0.277453703,1.015335276,1.053708807,0,0,0,0,0.582033797,0.651997078,0.889530138
Serpinb8,0.83836546,0.214649712,0.574389124,0.576123261,0.582427277,0.325845297,0,0,0,0.460063625,1.296815876,0.505741957
Cxcl16,0.828093137,0.993166691,0.291581365,0.471782969,0.977697218,0,0,0,0,0.481610198,1.336947275,1.020903082
Ppp1r16b,0.824753297,0.037346905,0.271324754,0.66664923,0.464250434,0.378823022,0,0,0.301355435,0.324154889,0.894339522,0.784715915
Il15,-0.809604262,-1.227348975,-1.045501466,-0.974748857,-0.898251663,0,0,-0.543056096,0,-0.842477564,-0.708596725,-0.772453801
Tm6sf1,-0.801011683,-0.495456755,-0.089194831,-1.213137237,-0.515147006,0,0,0,0,0.401902269,-1.235460465,-0.779655498
Rbpjl,0.797807321,0.006079883,0.250054392,0.089115419,0.033971431,0,0,0,0,1.39160924,8.964569462,2.651250193
Rnase6,-0.792327732,0,-1.154961957,-1.313715143,-1.821246732,-0.489334641,0,-0.525927679,-0.25092133,0,0,0
Nckap1,0.77915963,0.419469635,0.705290791,1.286258247,0.967570577,0,0,0,0,0.263070949,0.323309941,0.867665631
Clec1b,0.771664598,2.606943265,0.645925112,1.418164561,1.316626829,0,0,0,0,1.149519351,0.996732505,0.980432537
Slc6a15,0.761959029,3.497558101,0.283592688,0.952966465,1.151915204,0.485516392,0,0,0.349324175,0.350584114,0.541165742,0.665084131
Pclo,0.723890782,1.216890307,0.244026633,0.74188967,0.91417358,-0.252540446,0,0,0,0.302715104,0.569801923,0.60872502
Stxbp4,0.723509623,-0.060170591,0.291524101,0.87997163,0.659461322,0,0.454635044,0,0,0.574264672,1.284323365,0.623351294
Cd86,-0.721734177,-1.416436973,-1.373779483,-1.169639426,-0.843643788,-0.399597698,0,0,0,-0.842391928,-1.519119197,-1.775828821
Cd37,-0.718890575,-2.45296804,-0.684583072,-0.693508484,-0.638581343,0,0,-0.490895167,0,-0.527026463,-0.686354786,-1.069109062
Abca4,0.716931025,0.15840557,0.435222241,2.472515188,1.644097485,0,0.336082711,0,0,0.828522456,2.511018613,1.62508826
Mmp2,-0.710607431,-3.998466863,-0.32405868,-1.276409185,-1.738263798,0,0,0,0,-0.143420153,-1.587192616,-1.527233148
Arhgap29,0.709707424,0.519986124,0.585382483,0.63252825,0.661819503,0.479731125,0.561319279,0,0,0.554621929,0.810764981,1.043702927
Lsp1,-0.704331697,-2.426234562,-0.450179809,-0.343075613,-0.740448083,0,-0.491235081,-0.613360463,0,-0.282109576,-0.483728768,-0.399840537
Arhgap30,-0.69704063,0,-0.456078495,-0.687310936,-0.68100052,-0.395883415,0,0,0,-0.41544954,-0.503117756,-1.057350396
Slc28a2,-0.692715825,0,-0.596636978,0,0,0,0,-0.298274117,0,-0.568060808,-0.644826347,-0.839703489
Slamf1,0.658486977,0.794390718,0.47285091,0.847162861,0.706988795,0.663657467,0,0,0,0.622708931,1.023913231,0.997220594
Phactr1,0.656864536,0.119230916,0.207291198,0.717591238,0.432535444,0,0.38168678,0.29387179,0.460613652,0,0,0
Npdc1,0.655367781,-0.005045398,-0.138602676,0.717583707,0.836431579,0.280057885,0,0.372838599,0,0.504185087,1.409162462,0.782172331
Tnfsf10,0.654600365,0.009836851,0.575542071,0.784525959,0.618016936,0.266386914,0,0,0.320200642,0.654731834,0.567190951,0.927431799
Ndrg1,0.646503444,1.011274631,0.429243163,0.934501139,0.535188308,0.511399564,0.387279255,0,0,0,0,0
Cd9,0.641443793,2.22371154,0.057524934,0.406439717,0.64617704,0.410850908,0,0,0,-0.007812616,0.753702788,0.547142359
Pla2g4a,0.632782084,1.537270403,0.165462782,0.276601999,0.439320814,0.276731065,0,0,0,0.486249083,0.642225874,0.447556747
Abat,0.598724113,0.023220684,0.287862064,0.891223895,0.839994643,0,0,0,0,0.255109992,2.740410982,1.377627364
Col4a2,-0.581915233,-1.512599134,0.116836317,-0.792961461,-1.086592519,0,-0.300984433,0,-0.28063813,-0.674091132,-1.22157296,-1.132542776
Abcb1b,0.571001259,-0.065400666,0.338462751,0.678298011,0.646158308,0.306766201,0,0,0,0.333004819,0.817755723,0.526703336
Dhx40,0.563655793,0.704323681,0.203126588,1.092794474,1.028678067,0,0.488641924,0,0,0.797321847,1.333529229,0.826659159
Dennd5b,0.561840484,0,0.153871474,0.900855629,0.687245227,0,0.289621604,0,0.297820835,0.685636745,0.930463293,0.689270486
Evc,0.536347357,0.049260168,0.302866383,0.627035995,0.471533663,0.26570987,0,0,0,0.278964499,1.168595384,0.803343105
Trpc6,0.485440536,0.842696371,0.04647263,0.678190558,0.509212561,0,0,0,0.442613936,0.24886379,0.445679891,0.575014571
Tsc22d1,0.476190462,0.2961568,0.124509502,0.416106861,0.318809047,0.764985009,0.528086723,0.499855735,0,0.325898711,0.912576488,0.694605189
Sult1a1,1.050048487,3.788032114,0.807781302,2.848187398,2.018886699,1.444632188,0.50296064,1.715941444,1.125741627,0,0,0
Anxa6,-0.930451117,-2.757972285,-0.18657426,-0.357029394,-0.657571969,-0.353534635,-0.490811931,-0.428615637,0,-0.373309971,-1.412204354,-1.048762928
Sdpr,0,4.745035952,1.585894652,2.374700146,1.955498965,1.359072607,0,0.465085676,0.382154026,0,0,0
Ghr,0.596473638,2.140827708,-0.034258606,0.812066751,0.811991028,0.647876117,0,0,0,0.751381091,0.98496782,1.076906141
Mef2c,0.192877662,1.216835795,0.609960278,0.813171093,0.392473203,0.664116042,0.308505849,0,0,0.389045674,0.4193223,0.587802137
Cytip,0.332229516,1.191447946,0.463215591,1.02537197,0.755361603,0.825321742,0.38602706,0,0,0.589595654,0.826795963,1.001111387
Efna1,0.621173512,1.008627593,-0.37936223,0.980900963,0.702793044,0.38423816,0,0.590790793,0,0.330128285,1.451956679,1.021319025
Ndn,0.691890114,0.488695921,-0.244939043,0.347354515,0.254420645,0.331896681,-0.330000527,0,0.281142264,0.125183121,0.771888284,0.874714843
Satb1,-0.952445292,-1.27581453,-0.948882526,-0.547279737,-1.07456972,-0.483506294,0,0,0,-0.134241253,-1.378937256,-1.136958636
Klrb1b,0.035069683,-0.174837645,0.235490981,0.05097031,-0.008766454,0,0,0.682886509,0,-0.479446471,0,1.95004835
Plscr1,0.52903952,1.337793458,0.603927765,1.341948485,1.196425694,0.597445699,0.371738135,0.320766066,0.574496069,0.897903565,1.091893549,0.882167166
Tm4sf1,1.314794644,2.059304972,0.189155391,1.575816263,1.53856987,0.321267396,0,0.275115755,0.404925522,1.418246644,4.229446827,2.621410223
Mllt3,0.142499739,2.186890075,0.481637869,0.818620315,0.546742545,0,-0.482815779,0,0,0.281800016,-0.040384156,0.579021956
Mcm7,-0.272877891,-1.499059729,-0.687330571,-0.578185553,-0.35605565,0,-0.305547536,-0.608966411,-0.590715731,-0.512368318,-0.170432756,-0.471906751
Gstm7,0.672259346,0.514533617,-0.104613655,0.078311655,0.239259846,0.387336799,0,-0.251359894,0,0.689989854,1.030148923,0.931635042
Alcam,1.004363251,2.587378234,1.303714399,1.387509488,1.392516249,0.475720147,0,0,0.318726046,1.238246498,1.206320306,1.453882655
Perp,0.628088894,2.877381027,-0.134212077,1.611722307,1.786278608,0,0,0,0,0.481725375,1.36681369,1.708391003
Thbd,0.695239105,1.78040194,0.092720795,0.960383479,1.254365321,-0.271365064,0,0,0,0.496425931,1.499342195,0.843667042
Oxr1,0.651170278,1.819511953,0.311379706,1.324111423,1.210012099,0.882282356,0.324651273,0.565020226,0.373990938,0,0,0
Gstm1,0.307444181,0.802691706,0.368579538,0.406194578,0.337681165,0.839688824,0,0,0.266880695,0.35718877,0.530122754,0.684383755
Lamp2,0.269489249,1.324549981,0.252065322,0.654877325,0.643569333,0,0,0.259769216,0,0.381616267,0.613592727,0.988843605
Dnmt3b,-0.406665617,-0.666036015,-0.034674515,-1.058307391,-0.672667194,0,-0.403342468,0,0,-0.378313355,-0.755917626,-0.58120562
Cntn1,0.470374074,1.514015655,0.210421358,0.832463637,0.82619381,0,0,0,0,0.380256706,9.558266967,3.083557381
Btg2,1.33721235,-0.910653904,0.680178203,-0.043010033,1.248885004,2.1310989,1.787170911,0.511563236,0,-0.221205974,0.231992401,0.68993483
Acsl4,0.131563983,1.078892332,0.174566365,0.70791267,0.536290725,0,0,0,0,0.299862028,0.426694785,0.497032033
Cyb561,0.035103728,3.045017638,0.294456981,1.753067135,1.6392377,0,0,0,0,-0.297966783,2.696787815,1.045329845
Gadd45g,0.792092756,0.518188007,0.033240545,2.675483476,2.260622149,0.413445881,0.460915844,0.462093292,0.308281882,0.354484765,2.285996758,1.19793698
Art4,0.650583792,-0.681597797,0.379007189,1.557193956,0.755167325,0.582170578,0.420312056,0.382348507,0.392672309,0.23743205,0.70811015,0.827680572
Cyp26b1,0.498444266,0,-0.052691234,2.265528822,1.399397005,0.582075798,0,0,0.294584379,1.338519777,1.623154593,1.721317053
Exoc6b,0.580242687,0,0.441092348,0.565817826,0.285581321,0.392402509,0.599945451,0,0.621685462,0.840166537,0.353992205,1.056127484
Mcm5,-0.284051213,0.372836146,-0.57949596,-0.859654707,-0.580250376,-0.380073506,0,-0.603180878,-0.476421803,-0.54450667,-0.08704299,-0.553044662
Tgm2,0.801473546,0.39200896,0.322766549,0.925219379,0.562991036,0.859769855,0,0.627232712,0.750888721,0.622952744,0.941823014,0.781257343
Lst1,-0.723026063,-1.988662437,-0.544426505,-0.897355095,-1.099944775,-0.454372745,-0.621654214,-0.397797914,0,-0.734594912,-1.387258631,-0.682790716
Prtn3,1.027579941,0.788938644,0.070630372,1.308002621,0.840102205,0.324066089,0.456259481,1.235046819,0.677969771,0.67593274,0.827183736,0.991070389
Plac8,-1.061716529,-0.939935451,-1.629781916,-2.514917011,-2.03394901,-0.49251754,0,-0.638556549,-0.309549846,0.480378685,-2.211173832,0.369734351
Rorc,1.198431365,0.007021604,0.31925343,1.04594649,0.846440957,0,0,0.364905211,0.565022466,0.795545386,2.006912109,1.646343555
Gpx3,0.900961687,0.022248154,0,0.500895441,0.267690379,0,0,0.583650642,0.287881877,1.045238352,1.9022427,1.014272636
Nrg4,1.269433936,0.227622563,0.741633329,1.715551624,1.735148415,0,0,0.252141091,0,0.698717246,1.266814504,1.330876765
Tox,0.705689429,0.480866597,0.54861659,1.292978988,0.511988645,0.780648725,0,0.500274118,0,0.482855383,0.786046978,0.883822199
Ly6e,0.275429662,0,0.505990735,0.550940496,0.165430378,0.512127543,0.427922833,0.489786092,0,0.499247947,0.388369733,0.612497072
Tmem176a,0.377706206,0.520787669,-0.073928081,0.611190802,0.351955064,0.494155769,0,0.530940604,0.663934755,0.46276687,0.56212687,0.722373664
Mmrn1,0.458992398,0,0.401511426,0.392567269,0.400901362,0,0,0.434037373,0,0,0.575332674,0.727998916
Cd63,0.123684344,0,0.185844783,0,0,0.266799936,0,0.389365078,0.480207877,0.529901503,0.424241112,0.539603478
Lpar6,0.614819062,0,0.699997249,1.429686346,1.084896205,0,0,0.327618581,0.275761515,0.481679821,0.337276124,1.130516702
Tc2n,1.256869764,0.761534149,1.746615752,1.038963934,1.858516579,0.44486913,0,0,0,1.375399538,3.508899441,3.042865145
Vldlr,1.16160494,0.851544692,1.295147518,1.375011511,1.088364844,0,0.557748617,0,0,1.63246966,1.145698727,1.039853859
Rdh10,0.558850103,0.484736254,0.830642319,1.404402294,1.018158265,0,0,0,0,1.132758528,0.197472202,1.266026282
Amotl2,0.541148281,0.194001985,0.405402057,1.13120427,1.510113276,0,0.260484032,0,0,0.913182912,2.766591659,1.466116529
Plcl1,0.47846729,0,0.796555178,1.320396668,0.869229542,0,0.338693079,0,0,0.808043245,0.279598782,1.250455287
Ptger4,0.867274731,1.221831967,0.492102693,1.48687691,1.142648504,0,0.500508731,0,0.252956743,1.113292549,0.281413257,1.104662126
Maf,0.344108022,0.028603437,0.186522292,0.662252473,0.529358664,0.627384682,0,0,0,1.179932908,3.14482094,1.58582541
Vmp1,0.159477034,0.625010027,0.162662255,0.758082694,0.722430078,0.709003089,0.555160752,0,0.720700435,0.729383719,0.285681045,1.045442321
Procr,0.631625288,0.917410675,0.096749731,0.771538881,0.666536947,0.314508155,0,0,0.470474134,0.498444966,0.593281961,0.660624792
Runx1t1,0.494966542,0.472780583,0.758300052,1.436968042,1.302491837,0.525763944,-0.315200032,0,0.354497638,0.671804879,1.131425407,1.168882046
Rab34,0.528534049,-0.453601321,-0.204334292,0.727931041,1.178280127,0,0,0,0,-0.423534081,1.842628856,0.730990405
Tbc1d8,0.408708543,0.328237877,0.403458846,1.066274271,1.012836045,0,0.411201366,0,0.313545633,0.533918511,0.65951127,0.786795026
Ddr1,0.196663842,0.490085835,0.079405826,0.612135398,0.703894667,0,0,0,0,-0.190833829,2.485840032,1.539796014
Ampd3,0.758584277,1.483665001,0.839579362,1.321158896,1.39052685,0.376129718,0,0,0,0.758260449,0.996510484,0.848818039
Syk,-0.524770763,-0.825870873,-0.148513022,-0.479437791,-0.746039544,0,0,0,-0.25063651,-0.404898335,-0.578466969,-0.810772893
Ocln,0.471193057,1.409302032,-0.148490599,1.236100203,0.96701434,0.538259983,0,0,0,0.423711354,0.976979808,1.516538938
Rgn,0.202728909,0.033761022,-0.030321299,2.390086522,2.038676657,0,0,0,0,-0.723067482,3.375925439,2.217361323
Meis2,0.671695806,0.269759982,-0.06978082,1.24338487,1.186279168,0,0,0,0,0.060649821,2.016002897,1.188176764
Gabra4,0.655248724,0,0.185677883,1.681343557,1.608598106,0,0,0,0,1.272668455,5.279824715,4.84223671
Antxr2,-0.354769972,-1.002020216,0,-0.9174399,-0.981010747,0,0,0,-0.256244014,-0.245339676,-0.717678024,-0.658171421
Nt5c3,0.54731177,1.18920069,0.023105424,0.289483855,0.359231846,0.621525574,0.410432143,0.305438483,0,0.445367987,0.600671158,0.769986436
Chrna7,0.048414739,-0.339397851,0.080073602,0.813160589,0.766049606,0,0,0,0,-0.07645509,4.189301161,2.244506339
Ldhd,0.620863302,0,0.333914211,1.598886086,0.977077654,0,0.417717295,0,0,0.689251848,1.405871505,0.944139345
Pdgfd,1.131542331,-0.065657422,0.130776192,0.615673863,0.786821877,0,0,0,0,0.606734018,0.741543748,0.953808255
Acpp,0.553363791,0.01908858,0.40142224,0.757420096,0.464456573,0,0,0,0,0.625018255,1.385055497,1.618960961
Lrrn1,0.860964037,0.163125799,0.436215209,0.504514353,0.561288352,0,0,0,0,0.464465913,6.063202639,2.124974191
Camk1d,-0.211894728,-1.280759212,-0.479767882,-1.019719586,-1.16071367,-0.507915343,0,0,0,-0.169550938,-1.629071531,-1.048958812
Asb4,1.176937857,2.969677836,0.341045488,0.938635698,1.415580085,0,0,0,0,-0.045661023,1.488805469,1.700438284
Cldn12,0.391869262,0,0.315135346,0.530879498,0.589719981,0,0,0,0.41270426,0.364634712,0.489375356,0.754417404
Ntf3,0.604314844,-0.000506144,0.270740337,1.680132649,1.579931018,0,0,0,0,1.84932271,9.015957143,3.895196296
Cd200r4,0.569694967,0,0.180650623,0.933058463,1.857802733,0,0,0,0,0.149976477,2.363607048,1.337906171
Kdr,0.783267543,0.187616138,0.355751224,1.389678104,1.441834967,0,0,0,0,0.390662318,2.1626307,1.476146761
Prnp,0.483137691,0.463907199,-0.800205104,0.903132814,0.69621142,0,0,0,0,0.897685878,0.685558632,0.871529298
