Genes,Bersenev, Chambers, Flach, Grover, Kirshner, Kowalczyk, Lazare, Mann, Maryanovich, Norddahl, Sun, Wahlestedt,Avg,Consistency,Order
Fhl1,1.109149118,1.970342487,NA,0.913887499,NA,0.451518039,NA,NA,1.492328102,1.12896536,1.098155801,1.382578239,1.193365581,8,19
Rdh10,NA,NA,NA,NA,NA,NA,1.132758528,NA,NA,1.404402294,1.266026282,1.018158265,1.205336342,4,191
Ptger4,NA,NA,NA,NA,NA,NA,1.113292549,NA,NA,1.48687691,1.104662126,1.142648504,1.211870022,4,194
Dhrs3,1.422021743,NA,NA,0.325513523,NA,1.108024472,NA,0.767443038,1.499089842,2.303749359,1.171541465,NA,1.228197635,7,29
Rhoj,0.985892807,NA,NA,NA,NA,NA,NA,NA,1.072028298,1.806262386,1.242621239,1.0382173,1.229004406,5,81
Ldhd,NA,NA,NA,NA,NA,NA,NA,NA,1.405871505,1.598886086,0.944139345,0.977077654,1.231493648,4,209
S100a6,1.24639155,1.006775367,NA,NA,NA,NA,NA,NA,1.097056739,NA,1.60676905,NA,1.239248176,4,129
Runx1t1,NA,NA,NA,NA,NA,NA,NA,0.354497638,1.131425407,1.639497134,1.168882046,1.970005631,1.252861571,5,120
Itgb3,0.972797889,NA,1.349370161,0.649953228,NA,NA,1.13638942,0.518873138,2.055269454,1.632987818,1.457893731,1.530719565,1.256028267,9,8
Nrg4,NA,NA,NA,NA,NA,0.252141091,NA,NA,1.266814504,1.715551624,1.330876765,1.735148415,1.26010648,5,114
Abcb1a,0.892528324,NA,NA,NA,NA,NA,NA,NA,1.647668801,1.308481565,0.74073954,1.711737529,1.260231152,5,85
Thbd,NA,1.78040194,NA,NA,NA,NA,NA,NA,1.499342195,0.960383479,0.843667042,1.254365321,1.267631995,5,107
Ocln,NA,NA,NA,NA,NA,NA,NA,NA,0.976979808,1.66926751,1.516538938,1.092590414,1.313844167,4,202
Gem,1.929471356,NA,NA,NA,NA,0.552009643,1.524000892,NA,0.923982074,NA,1.716432304,NA,1.329179254,5,63
Cpne8,0.926609605,NA,NA,NA,NA,NA,NA,0.480462659,1.752087647,1.48558992,1.503923108,1.85202241,1.333449225,6,48
Zfp334,0.858677459,NA,NA,NA,NA,NA,NA,NA,1.875907661,1.164026378,1.44496581,NA,1.335894327,4,141
Id2,1.270937167,NA,NA,1.102779062,NA,NA,NA,NA,NA,1.583742156,NA,1.390202781,1.336915292,4,127
Vldlr,NA,NA,NA,NA,NA,NA,1.63246966,NA,1.145698727,1.674269648,1.039853859,1.229532011,1.344364781,5,118
Ghr,NA,2.175474428,NA,NA,NA,NA,NA,NA,0.98496782,1.224598853,1.076906141,1.354815029,1.363352454,5,102
Slc6a15,0.761959029,3.497558101,NA,NA,NA,NA,NA,NA,0.541165742,NA,0.665084131,NA,1.366441751,4,148
Vwf,1.27059665,NA,NA,NA,NA,0.284538469,0.939653861,0.7578125,1.817636295,2.045137395,1.771409558,2.089372431,1.372019645,8,16
Alcam,NA,2.587378234,1.303714399,NA,NA,NA,1.238246498,0.318726046,1.206320306,1.530448601,1.453882655,1.540807508,1.397440531,8,22
Hpgds,1.621375951,NA,1.006017848,NA,NA,NA,NA,NA,1.735759963,NA,1.242931395,NA,1.401521289,4,123
Pcdhb16,1.099308148,NA,NA,NA,NA,NA,0.940309626,NA,1.683218363,NA,1.551480422,1.776795284,1.410222369,5,77
Clec1b,0.771664598,2.606943265,NA,NA,NA,NA,NA,NA,NA,1.418164561,0.980432537,NA,1.44430124,4,147
Jam2,1.583748792,NA,NA,0.446874972,NA,NA,NA,0.502746726,NA,2.472464125,NA,2.230768593,1.447320641,5,66
Abca4,0.716931025,NA,NA,NA,0.336082711,NA,0.828522456,NA,2.511018613,2.472515188,1.62508826,1.644097485,1.44775082,7,33
Plcl1,NA,NA,NA,NA,NA,NA,0.808043245,NA,NA,2.324634017,1.250455287,1.50055558,1.470922033,4,193
Cysltr2,1.858719127,NA,1.244231487,NA,0.394879353,NA,NA,NA,NA,1.716098835,NA,2.148220703,1.472429901,5,64
Clec1a,1.983957477,NA,1.245485152,1.004282325,NA,0.688183272,0.969389057,0.867699692,1.99013801,2.681304121,1.472334955,1.966815514,1.486958957,10,5
Ptprk,1.502226385,NA,1.133472413,NA,NA,NA,0.991892154,0.253960056,2.021600701,1.94827302,2.221864924,1.955665101,1.503619344,8,15
Sfrp1,1.607073666,NA,NA,NA,NA,NA,NA,NA,1.231126263,1.831671954,1.67273683,1.274736655,1.523469074,5,65
Zfp36,1.061805508,2.657821705,NA,NA,1.380075396,1.000153767,NA,NA,NA,NA,NA,NA,1.524964094,4,134
Mmp14,1.477361925,1.761173315,NA,NA,NA,NA,NA,NA,NA,1.727761226,NA,1.138202497,1.52612474,4,124
Ehd3,1.630295206,1.948963066,NA,NA,NA,0.745758268,NA,0.711035292,NA,2.260427539,NA,1.876896491,1.528895977,6,38
Gadd45g,NA,NA,NA,0.413445881,NA,0.462093292,NA,NA,2.285996758,2.675483476,1.19793698,2.260622149,1.549263089,6,56
Fhdc1,1.686743333,NA,NA,NA,NA,NA,0.769677756,NA,3.110521426,1.401802304,1.018950229,1.322360914,1.551675994,6,37
Enpp5,1.3100873,3.124216668,NA,0.720566866,NA,0.892084164,1.458878631,0.578882816,1.712805231,2.425141592,1.765455107,NA,1.554235375,9,7
Il1rapl2,1.390893721,NA,NA,NA,NA,NA,NA,NA,2.376878356,0.998564618,1.668093327,1.364129633,1.559711931,5,70
Cd38,1.260505376,NA,NA,NA,NA,0.265230002,1.25450037,0.394042615,1.93309158,2.769466117,2.035891497,2.679098247,1.573978226,8,17
Klhl4,1.645627108,NA,1.507399418,1.275400354,NA,NA,1.767336236,NA,1.474260516,1.661093695,1.643495935,1.653690644,1.578537988,8,14
Asb4,NA,NA,NA,NA,NA,NA,NA,NA,1.488805469,1.507341004,1.700438284,1.653200293,1.587446263,4,214
Gda,NA,NA,1.283180306,NA,NA,NA,NA,0.703003522,NA,2.611729918,NA,1.801034955,1.599737175,4,177
Gpr183,1.804942712,NA,1.969398928,0.659818383,0.66062875,0.290168441,NA,0.486681469,NA,3.748615043,NA,3.229290584,1.606193039,8,13
Kdr,NA,NA,NA,NA,NA,NA,NA,NA,2.1626307,1.389678104,1.476146761,1.441834967,1.617572633,4,218
Cd200r4,NA,NA,NA,NA,NA,NA,NA,NA,2.363607048,0.933058463,1.337906171,1.857802733,1.623093604,4,217
Acpp,NA,NA,NA,NA,NA,NA,NA,NA,1.385055497,2.28479654,1.618960961,1.2195434,1.627089099,4,211
Pgr,1.61488528,NA,NA,NA,NA,NA,NA,0.276426607,2.008176131,1.637668791,1.770679175,2.475957841,1.630632304,6,39
Amotl2,NA,NA,NA,NA,NA,NA,0.913182912,NA,2.766591659,NA,1.466116529,1.510113276,1.664001094,4,192
Phf11d,1.568485849,NA,NA,NA,NA,NA,1.297642745,NA,2.192030395,1.720948635,2.005525943,1.201664376,1.664382991,6,40
Abat,0.598724113,NA,NA,NA,NA,NA,NA,NA,2.740410982,1.759691461,1.377627364,1.860673309,1.667425446,5,97
Cavin2,1.642477608,NA,NA,NA,NA,NA,1.004774078,NA,2.590474154,NA,1.544240779,NA,1.695491654,4,122
Aldh1a1,1.795511841,4.115193297,NA,1.153938907,NA,0.573306594,NA,0.681864973,NA,1.721111193,NA,1.966447467,1.715339182,7,24
Dsg2,1.092849725,NA,NA,NA,NA,NA,NA,NA,1.826353989,1.886683372,1.811025428,2.077737273,1.738929957,5,78
Meis2,NA,NA,NA,NA,NA,NA,NA,NA,2.016002897,1.984008421,1.188176764,1.959249996,1.78685952,4,204
B3galt1,1.195118484,NA,NA,NA,NA,NA,NA,NA,2.866674279,1.485567048,1.277447333,2.121605797,1.789282588,5,73
Nupr1,1.524012954,0.844994579,NA,1.202829595,0.923387702,2.196010041,1.579603557,0.789569305,2.746007795,3.133715207,1.642493314,3.191099922,1.79761127,11,3
Ddr1,NA,NA,NA,NA,NA,NA,NA,NA,2.485840032,1.879543378,1.539796014,1.323879615,1.80726476,4,199
Dnm3,1.646269077,NA,NA,0.387391475,NA,NA,1.2024676,NA,2.913758718,2.018662688,2.672561826,1.824222656,1.809333434,7,27
Neo1,1.25983476,4.341932538,NA,0.445101184,NA,NA,1.111001586,NA,1.25852422,2.090896943,1.766811928,2.463465049,1.842196026,8,18
Lpl,1.403869469,2.606574643,NA,NA,NA,NA,NA,NA,1.614517823,NA,1.331267685,2.33763496,1.858772916,5,69
Perp,NA,2.877381027,NA,NA,NA,NA,NA,NA,1.36681369,1.611722307,1.708391003,1.786278608,1.870117327,5,106
Sdpr,NA,4.745035952,NA,1.359072607,NA,0.465085676,NA,0.382154026,NA,2.374700146,NA,1.955498965,1.880257895,6,52
Maf,NA,NA,NA,NA,NA,NA,1.179932908,NA,3.14482094,NA,1.58582541,1.73415829,1.911184387,4,195
Gm10419,1.679584598,NA,NA,NA,NA,0.321459392,1.300447473,NA,4.019229604,2.471943627,1.646863591,2.445308662,1.983548135,7,26
Klrb1c,2.564622161,NA,NA,NA,NA,NA,1.71529802,0.450859123,2.117264604,NA,3.078955288,NA,1.985399839,5,61
Pclo,0.723890782,2.418967766,NA,NA,NA,NA,NA,NA,NA,2.243632431,NA,2.597126797,1.995904444,4,149
Adgrg2,1.230981425,NA,NA,NA,NA,NA,0.885701209,NA,2.969142107,2.682842565,1.398295741,2.925324271,2.01538122,6,43
Bmpr1a,2.694994289,2.217300601,NA,0.778686885,NA,NA,NA,NA,NA,2.322770832,NA,2.157375311,2.034225584,5,60
Cyb561,NA,3.045017638,NA,NA,NA,NA,NA,NA,2.696787815,1.753067135,1.045329845,1.6392377,2.035888027,5,110
Aspa,2.231535968,NA,NA,NA,NA,NA,NA,NA,2.58808505,1.637337484,1.428795501,2.306765551,2.038503911,5,62
Mt1,2.380292482,5.576422021,NA,0.774329851,0.58809635,1.309815765,1.742664146,0.285047277,3.712901368,2.918932038,1.508273052,2.713056669,2.137257365,11,2
Tmem56,0.95358306,3.630023083,NA,NA,NA,NA,NA,NA,NA,2.561635058,0.702120913,2.877567214,2.144985866,5,82
Sult1a1,NA,3.788032114,NA,1.444632188,NA,1.715941444,NA,1.125741627,NA,2.848187398,NA,2.018886699,2.156903578,6,51
Tmem47,1.742003797,2.474168437,1.302897347,NA,NA,NA,NA,NA,3.194062324,1.752395184,2.351381171,2.4928116,2.187102837,7,25
Gstm2,1.972984103,4.490903852,NA,0.372592516,NA,0.400013547,1.745558067,NA,3.34959586,2.534558988,2.560199734,2.969836166,2.266249204,9,6
C4b,1.034576099,NA,NA,NA,NA,NA,1.129004912,NA,4.593699855,NA,2.390093515,NA,2.286843595,4,135
Zswim5,1.220318999,NA,NA,NA,NA,NA,NA,NA,6.082027868,1.731429368,1.630790402,1.426478097,2.418208947,5,72
Selp,3.273687659,5.952785834,1.682256463,1.047393659,0.617469802,0.993494677,2.154182076,1.075621029,4.090171202,2.775169489,2.495543057,3.141030537,2.441567124,12,1
Tm4sf1,NA,3.912620676,NA,NA,NA,0.275115755,1.418246644,0.404925522,4.229446827,3.33293662,2.621410223,3.497414034,2.461514538,8,21
Rorb,1.405818567,NA,NA,NA,NA,NA,0.905805681,NA,4.481515039,2.559453696,3.912061892,1.688574518,2.492204899,6,41
Rgn,NA,NA,NA,NA,NA,NA,NA,NA,3.375925439,2.390086522,2.217361323,2.038676657,2.505512485,4,203
Chrna7,NA,NA,NA,NA,NA,NA,NA,NA,4.189301161,1.961045264,2.244506339,1.716443507,2.527824068,4,208
Trpc1,2.142873839,2.686629888,1.448517503,NA,NA,NA,1.046677729,NA,3.317399322,3.396065723,3.188875672,3.021129563,2.531021155,8,12
