Genes,Bersenev,Chambers,Flach,Grover,Kirshner,Kowalczyk,Lazare,Mann,Maryanovich,Norddahl,Sun,Wahlestedt,Avg
Ndn,0.164146528,0.384336128,0.790132246,1,1,NA,0.997572655,1,8.01E-07,0.415635186,1.83E-07,0.523960777,5.71E-01
,NA,0.528047489,0.522518698,NA,NA,NA,NA,NA,NA,0.836802917,NA,0.881807141,6.92E-01
Satb1,0.066366051,0.141304851,0.040834049,0.000512203,NA,NA,0.997572655,NA,0.01087294,0.338284364,1.21E-06,0.323022179,2.13E-01
Sell,0.570466012,0.158973083,0.042286887,0.000512203,NA,NA,0.997572655,NA,0.692686175,0.019429801,0.601904995,0.30951576,3.77E-01
Klrb1b,0.9252364,0.313938289,0.311006433,NA,NA,0.682886509,0.988542218,NA,NA,0.886335924,2.57E-05,0.91360069,6.28E-01
Plscr1,0.060707473,0.029102894,0.077423494,1,1,0.320766066,0.023086364,5.37E-05,3.28E-09,0.058480386,7.50E-08,0.149348148,2.27E-01
Tm4sf1,0.053713506,0.288976815,0.826040774,0.212841507,NA,0.275115755,0.012691283,0.003528208,9.98E-27,0.177201127,4.12E-28,0.350380799,2.00E-01
Mllt3,0.734528989,0.02862872,0.055282361,NA,1,NA,0.972973397,NA,0.928565701,0.062668238,0.003255475,0.301247523,4.54E-01
Mcm7,0.320162264,0.133734346,0.035744543,NA,1,-0.608966411,0.641408262,0.25849642,0.65263868,0.135590397,0.034330244,0.470323355,2.79E-01
Gstm7,0.12059324,0.206694963,0.810063576,1,NA,-0.251359894,0.457730994,NA,2.01E-05,0.655749859,3.18E-05,0.60309135,3.60E-01
Alcam,0.081149532,0.033867664,0.01942961,1,NA,NA,0.000345488,0.004808943,7.88E-12,0.10962975,6.50E-22,0.184009625,1.43E-01
Perp,0.112852029,0.030878804,0.74104738,NA,NA,NA,0.981482822,NA,0.00030495,0.036361106,6.65E-09,0.013787456,2.40E-01
Anxa2,0.332015644,0.260512869,0.048656583,NA,NA,-0.470522874,0.994455917,NA,0.00679016,0.322161335,0.882720251,0.547185103,3.25E-01
Thbd,0.128544418,0.033953708,0.767566876,1,NA,NA,0.731830414,NA,4.56E-05,0.030867092,5.25E-07,0.015548932,3.01E-01
Oxr1,0.056623175,0.048254443,0.291175104,0.085789567,1,0.565020226,NA,0.059623575,NA,0.004311657,NA,0.005250659,2.35E-01
Gstm1,0.487477628,0.101165423,0.350394439,0.019495695,NA,NA,0.939432371,1,0.001011985,0.426736314,0.000138439,0.619899206,3.95E-01
Lamp2,0.219653927,0.288891525,0.252132408,NA,NA,0.259769216,0.893566646,NA,1.25E-07,0.048091474,0.000266031,0.094803269,2.29E-01
Dnmt3b,0.097695524,0.215466768,0.896336428,NA,1,NA,0.783856698,NA,0.009468526,0.016614845,0.001683755,0.084637969,3.45E-01
Cntn1,0.068527822,0.284040038,0.358665721,NA,NA,NA,0.919804979,NA,1.42E-12,0.541630043,2.74E-21,0.659743054,3.54E-01
Btg2,0.055726674,0.107835465,0.07987937,5.28E-08,0.000350478,0.511563236,0.994455917,NA,0.677854496,0.91813942,0.096209881,0.825231297,3.88E-01
Ctss,0.062547727,0.043770519,0.011725608,NA,NA,NA,0.998092616,NA,0.008992869,0.026349127,0.934190257,0.954293717,3.80E-01
Acsl4,0.530757831,0.215786791,0.394572464,NA,NA,NA,0.947705361,NA,0.044633963,0.284117999,0.008005643,0.506625652,3.67E-01
Muc13,0.293119925,0.056661435,0.043524275,1,1,NA,0.719451082,NA,0.001828365,0.037232713,0.243271771,0.423458286,3.82E-01
Cyb561,0.950748302,0.046514111,0.252132408,NA,NA,NA,0.994455917,NA,2.45E-10,0.01497639,0.000140987,0.013092225,2.84E-01
Socs2,0.129391153,0.247830477,0.05060319,0.000165913,1,NA,0.997572655,NA,2.22E-06,0.594149136,2.53E-13,0.654679367,3.67E-01
Mamdc2,0.106652725,NA,0.011725608,NA,NA,-0.513367462,NA,1,NA,0.021570878,NA,0.049396577,1.13E-01
Gda,0.1097035,0.399237874,0.026727785,0.066827629,NA,NA,NA,4.86E-12,NA,0.003071407,NA,0.025511753,9.02E-02
Mlec,0.277920259,0.089922596,0.302847027,0.017658791,NA,NA,0.716347818,NA,9.70E-06,0.264230238,0.144233469,0.42838785,2.49E-01
Plscr4,0.573304034,NA,0.032532669,1,NA,NA,0.201688009,NA,0.000493402,0.449403064,2.57E-05,0.541270523,3.50E-01
Sema7a,0.231513284,0.443433153,0.036811505,NA,NA,NA,0.394123825,NA,0.680130426,0.488167437,5.60E-07,0.464538017,3.42E-01
Plac8,0.436379512,0.161247384,0.043524275,1,NA,-0.638556549,0.980619711,0.001345955,1.99E-19,0.052037916,0.488314133,0.007857055,2.30E-01
Plxdc2,0.117849041,0.901097514,0.043524275,NA,NA,NA,0.555095852,NA,6.79E-10,0.325744329,8.73E-06,0.333646952,2.85E-01
Rfc2,0.31751558,0.159716363,0.045215437,NA,1,-0.559001811,0.485713557,1,0.978607175,0.094874878,0.000565232,0.376740501,3.55E-01
Gadd45g,0.113232607,0.63584775,0.940106474,0.00016506,1,0.462093292,0.979421708,1,5.03E-07,0.01001053,3.62E-08,0.000426139,4.28E-01
Art4,0.108296007,0.514989933,0.443560486,0.000971131,1,0.382348507,0.96806809,0.658460072,4.77E-05,0.003150902,4.67E-07,0.079311938,3.47E-01
Cyp26b1,0.457530822,NA,0.854202211,0.013796994,NA,NA,0.002777577,0.001526126,0.003284881,0.054989709,4.93E-23,0.243186024,1.81E-01
Exoc6b,0.340417913,NA,0.18139793,0.025869729,1,NA,0.254660174,0.000469216,0.091161446,0.422406835,1.95E-10,0.524570184,2.84E-01
Mcm5,0.458359076,0.814926359,0.069452923,0.030435805,NA,-0.603180878,0.401966477,0.065175681,0.869781273,0.205376955,0.007294708,0.278521178,2.36E-01
Tgm2,0.144794735,0.52489204,0.358415714,0.041764249,NA,0.627232712,0.527427345,1.48E-07,3.14E-10,0.061803391,0.000154587,0.341747622,2.39E-01
Lst1,0.088215347,0.167594697,0.235733513,0.064414193,0.006124185,-0.397797914,0.932126147,NA,6.42E-09,0.02693718,0.00133286,0.045964868,1.06E-01
Prtn3,0.0532108,0.134786083,0.876953011,1,1,1.235046819,0.496114609,4.23E-07,0.000286358,0.009685231,3.84E-08,0.013678169,4.02E-01
Gpx3,0.390372127,0.484560666,NA,NA,NA,0.583650642,0.367045759,0.002203994,0.001337116,0.058686164,1.14E-05,0.80647393,2.99E-01
